
========================================================================
RUN STARTED  2026-06-17 15:25:51
site_pipeline.py https://www.turing.com/
========================================================================

[15:25:51 +0s | turing] === 0 crawl site ===
[15:25:52 +1s | turing] [INIT].... → Crawl4AI 0.8.6 
[15:25:53 +3s | turing] [FETCH]... ↓ https://www.turing.com/                                                                              | ✓ | ⏱: 1.24s 
[15:46:27 +20m 36s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 1/14
[15:46:31 +20m 40s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 2/14
[15:46:37 +20m 46s | turing] Repaired malformed JSON.
[15:46:37 +20m 46s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 3/14
[15:46:44 +20m 53s | turing] Repaired malformed JSON.
[15:46:44 +20m 53s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 4/14
[15:46:50 +20m 59s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 5/14
[15:46:56 +21m 6s | turing] Repaired malformed JSON.
[15:46:56 +21m 6s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 6/14
[15:47:05 +21m 14s | turing] Repaired malformed JSON.
[15:47:05 +21m 14s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 7/14
[15:47:14 +21m 23s | turing] Repaired malformed JSON.
[15:47:14 +21m 23s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 8/14
[15:47:22 +21m 31s | turing] Repaired malformed JSON.
[15:47:22 +21m 31s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 9/14
[15:47:28 +21m 37s | turing] Repaired malformed JSON.
[15:47:28 +21m 37s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 10/14
[15:47:34 +21m 43s | turing] Repaired malformed JSON.
[15:47:34 +21m 43s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 11/14
[15:47:42 +21m 51s | turing] Repaired malformed JSON.
[15:47:42 +21m 51s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 12/14
[15:47:46 +21m 55s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 13/14
[15:47:52 +22m 1s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-63 (15/44), chunk 14/14
[15:47:58 +22m 8s | turing] Repaired malformed JSON.
[15:47:58 +22m 8s | turing] Reading page (16/44): https://www.turing.com/advance/coding
[15:47:58 +22m 8s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 1/15
[15:48:02 +22m 11s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 2/15
[15:48:05 +22m 14s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 3/15
[15:48:09 +22m 18s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 4/15
[15:48:15 +22m 24s | turing] Repaired malformed JSON.
[15:48:15 +22m 24s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 5/15
[15:48:21 +22m 31s | turing] Repaired malformed JSON.
[15:48:21 +22m 31s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 6/15
[15:48:29 +22m 38s | turing] Repaired malformed JSON.
[15:48:29 +22m 38s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 7/15
[15:48:34 +22m 44s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 8/15
[15:48:39 +22m 48s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 9/15
[15:48:45 +22m 54s | turing] Repaired malformed JSON.
[15:48:45 +22m 54s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 10/15
[15:48:51 +23m 0s | turing] Repaired malformed JSON.
[15:48:51 +23m 0s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 11/15
[15:48:59 +23m 8s | turing] Repaired malformed JSON.
[15:48:59 +23m 8s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 12/15
[15:49:06 +23m 16s | turing] Repaired malformed JSON.
[15:49:06 +23m 16s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 13/15
[15:49:13 +23m 22s | turing] Repaired malformed JSON.
[15:49:13 +23m 22s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 14/15
[15:49:18 +23m 27s | turing] Extracting: https://www.turing.com/advance/coding (16/44), chunk 15/15
[15:49:22 +23m 32s | turing] Reading page (17/44): https://www.turing.com
[15:49:22 +23m 32s | turing] Extracting: https://www.turing.com (17/44), chunk 1/17
[15:49:26 +23m 35s | turing] Extracting: https://www.turing.com (17/44), chunk 2/17
[15:49:29 +23m 38s | turing] Extracting: https://www.turing.com (17/44), chunk 3/17
[15:49:36 +23m 45s | turing] Repaired malformed JSON.
[15:49:36 +23m 45s | turing] Extracting: https://www.turing.com (17/44), chunk 4/17
[15:49:45 +23m 54s | turing] Repaired malformed JSON.
[15:49:45 +23m 54s | turing] Extracting: https://www.turing.com (17/44), chunk 5/17
[15:49:53 +24m 2s | turing] Repaired malformed JSON.
[15:49:53 +24m 2s | turing] Extracting: https://www.turing.com (17/44), chunk 6/17
[15:50:00 +24m 10s | turing] Repaired malformed JSON.
[15:50:00 +24m 10s | turing] Extracting: https://www.turing.com (17/44), chunk 7/17
[15:50:07 +24m 16s | turing] Repaired malformed JSON.
[15:50:07 +24m 16s | turing] Extracting: https://www.turing.com (17/44), chunk 8/17
[15:50:14 +24m 23s | turing] Repaired malformed JSON.
[15:50:14 +24m 23s | turing] Extracting: https://www.turing.com (17/44), chunk 9/17
[15:50:20 +24m 29s | turing] Repaired malformed JSON.
[15:50:20 +24m 29s | turing] Extracting: https://www.turing.com (17/44), chunk 10/17
[15:50:28 +24m 37s | turing] Repaired malformed JSON.
[15:50:28 +24m 37s | turing] Extracting: https://www.turing.com (17/44), chunk 11/17
[15:50:36 +24m 45s | turing] Repaired malformed JSON.
[15:50:36 +24m 45s | turing] Extracting: https://www.turing.com (17/44), chunk 12/17
[15:50:45 +24m 54s | turing] Repaired malformed JSON.
[15:50:45 +24m 54s | turing] Extracting: https://www.turing.com (17/44), chunk 13/17
[15:50:52 +25m 1s | turing] Repaired malformed JSON.
[15:50:52 +25m 1s | turing] Extracting: https://www.turing.com (17/44), chunk 14/17
[15:51:00 +25m 10s | turing] Repaired malformed JSON.
[15:51:00 +25m 10s | turing] Extracting: https://www.turing.com (17/44), chunk 15/17
[15:51:10 +25m 20s | turing] Repaired malformed JSON.
[15:51:10 +25m 20s | turing] Extracting: https://www.turing.com (17/44), chunk 16/17
[15:51:15 +25m 24s | turing] Extracting: https://www.turing.com (17/44), chunk 17/17
[15:51:23 +25m 32s | turing] Repaired malformed JSON.
[15:51:23 +25m 32s | turing] Reading page (18/44): https://www.turing.com/advance/datasets/robotics
[15:51:23 +25m 32s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 1/12
[15:51:31 +25m 40s | turing] Repaired malformed JSON.
[15:51:31 +25m 40s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 2/12
[15:51:39 +25m 49s | turing] Repaired malformed JSON.
[15:51:39 +25m 49s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 3/12
[15:51:43 +25m 52s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 4/12
[15:51:51 +26m 0s | turing] Repaired malformed JSON.
[15:51:51 +26m 0s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 5/12
[15:51:58 +26m 7s | turing] Repaired malformed JSON.
[15:51:58 +26m 7s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 6/12
[15:52:06 +26m 15s | turing] Repaired malformed JSON.
[15:52:06 +26m 15s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 7/12
[15:52:09 +26m 18s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 8/12
[15:52:18 +26m 27s | turing] Repaired malformed JSON.
[15:52:18 +26m 27s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 9/12
[15:52:27 +26m 36s | turing] Repaired malformed JSON.
[15:52:27 +26m 36s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 10/12
[15:52:37 +26m 47s | turing] Repaired malformed JSON.
[15:52:37 +26m 47s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 11/12
[15:52:41 +26m 50s | turing] Extracting: https://www.turing.com/advance/datasets/robotics (18/44), chunk 12/12
[15:52:46 +26m 56s | turing] Reading page (19/44): https://www.turing.com/intelligence/build
[15:52:46 +26m 56s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 1/12
[15:52:51 +27m 0s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 2/12
[15:52:54 +27m 3s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 3/12
[15:53:00 +27m 9s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 4/12
[15:53:08 +27m 17s | turing] Repaired malformed JSON.
[15:53:08 +27m 17s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 5/12
[15:53:13 +27m 23s | turing] Repaired malformed JSON.
[15:53:13 +27m 23s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 6/12
[15:53:17 +27m 26s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 7/12
[15:53:23 +27m 32s | turing] Repaired malformed JSON.
[15:53:23 +27m 32s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 8/12
[15:53:31 +27m 40s | turing] Repaired malformed JSON.
[15:53:31 +27m 40s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 9/12
[15:53:37 +27m 46s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 10/12
[15:53:43 +27m 52s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 11/12
[15:53:46 +27m 55s | turing] Extracting: https://www.turing.com/intelligence/build (19/44), chunk 12/12
[15:53:55 +28m 4s | turing] Repaired malformed JSON.
[15:53:55 +28m 4s | turing] Reading page (21/44): https://www.turing.com/blog/agi-advance-newsletter-64
[15:53:55 +28m 4s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 1/14
[15:53:59 +28m 8s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 2/14
[15:54:02 +28m 11s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 3/14
[15:54:12 +28m 21s | turing] Repaired malformed JSON.
[15:54:12 +28m 21s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 4/14
[15:54:17 +28m 26s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 5/14
[15:54:23 +28m 32s | turing] Repaired malformed JSON.
[15:54:23 +28m 32s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 6/14
[15:54:30 +28m 39s | turing] Repaired malformed JSON.
[15:54:30 +28m 39s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 7/14
[15:54:36 +28m 45s | turing] Repaired malformed JSON.
[15:54:36 +28m 45s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 8/14
[15:54:40 +28m 49s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 9/14
[15:54:47 +28m 56s | turing] Repaired malformed JSON.
[15:54:47 +28m 56s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 10/14
[15:54:54 +29m 4s | turing] Repaired malformed JSON.
[15:54:54 +29m 4s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 11/14
[15:55:00 +29m 9s | turing] Repaired malformed JSON.
[15:55:00 +29m 9s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 12/14
[15:55:04 +29m 13s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 13/14
[15:55:09 +29m 18s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-64 (21/44), chunk 14/14
[15:55:18 +29m 27s | turing] Repaired malformed JSON.
[15:55:18 +29m 27s | turing] Reading page (23/44): https://www.turing.com/advance/stem
[15:55:18 +29m 27s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 1/15
[15:55:23 +29m 32s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 2/15
[15:55:28 +29m 37s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 3/15
[15:55:33 +29m 42s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 4/15
[15:55:41 +29m 50s | turing] Repaired malformed JSON.
[15:55:41 +29m 50s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 5/15
[15:55:47 +29m 56s | turing] Repaired malformed JSON.
[15:55:47 +29m 56s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 6/15
[15:55:50 +30m 0s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 7/15
[16:00:51 +35m 0s | turing] Model call failed for https://www.turing.com/advance/stem chunk 7: 
[16:00:51 +35m 0s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 8/15
[16:01:00 +35m 9s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 9/15
[16:01:12 +35m 21s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 10/15
[16:01:17 +35m 26s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 11/15
[16:01:24 +35m 34s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 12/15
[16:02:13 +36m 22s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 13/15
[16:02:36 +36m 45s | turing] Repaired malformed JSON.
[16:02:36 +36m 45s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 14/15
[16:02:43 +36m 53s | turing] Extracting: https://www.turing.com/advance/stem (23/44), chunk 15/15
[16:02:51 +37m 0s | turing] Repaired malformed JSON.
[16:02:51 +37m 0s | turing] Reading page (24/44): https://www.turing.com/advance/contact
[16:02:51 +37m 0s | turing] Extracting: https://www.turing.com/advance/contact (24/44), chunk 1/8
[16:02:55 +37m 4s | turing] Extracting: https://www.turing.com/advance/contact (24/44), chunk 2/8
[16:02:59 +37m 8s | turing] Extracting: https://www.turing.com/advance/contact (24/44), chunk 3/8
[16:03:06 +37m 15s | turing] Repaired malformed JSON.
[16:03:06 +37m 15s | turing] Extracting: https://www.turing.com/advance/contact (24/44), chunk 4/8
[16:03:12 +37m 21s | turing] Extracting: https://www.turing.com/advance/contact (24/44), chunk 5/8
[16:03:23 +37m 32s | turing] Repaired malformed JSON.
[16:03:23 +37m 32s | turing] Extracting: https://www.turing.com/advance/contact (24/44), chunk 6/8
[16:03:33 +37m 42s | turing] Repaired malformed JSON.
[16:03:33 +37m 42s | turing] Extracting: https://www.turing.com/advance/contact (24/44), chunk 7/8
[16:03:36 +37m 46s | turing] Extracting: https://www.turing.com/advance/contact (24/44), chunk 8/8
[16:03:43 +37m 53s | turing] Repaired malformed JSON.
[16:03:43 +37m 53s | turing] Reading page (25/44): https://www.turing.com/get-started
[16:03:43 +37m 53s | turing] Extracting: https://www.turing.com/get-started (25/44), chunk 1/7
[16:03:48 +37m 57s | turing] Extracting: https://www.turing.com/get-started (25/44), chunk 2/7
[16:03:51 +38m 0s | turing] Extracting: https://www.turing.com/get-started (25/44), chunk 3/7
[16:04:01 +38m 10s | turing] Repaired malformed JSON.
[16:04:01 +38m 10s | turing] Extracting: https://www.turing.com/get-started (25/44), chunk 4/7
[16:04:08 +38m 17s | turing] Repaired malformed JSON.
[16:04:08 +38m 17s | turing] Extracting: https://www.turing.com/get-started (25/44), chunk 5/7
[16:04:16 +38m 25s | turing] Repaired malformed JSON.
[16:04:16 +38m 25s | turing] Extracting: https://www.turing.com/get-started (25/44), chunk 6/7
[16:04:21 +38m 30s | turing] Extracting: https://www.turing.com/get-started (25/44), chunk 7/7
[16:04:27 +38m 36s | turing] Reading page (26/44): https://turing.com/policy
[16:04:27 +38m 36s | turing] Extracting: https://turing.com/policy (26/44), chunk 1/46
[16:04:32 +38m 41s | turing] Extracting: https://turing.com/policy (26/44), chunk 2/46
[16:04:35 +38m 44s | turing] Extracting: https://turing.com/policy (26/44), chunk 3/46
[16:04:40 +38m 49s | turing] Extracting: https://turing.com/policy (26/44), chunk 4/46
[16:04:45 +38m 54s | turing] Extracting: https://turing.com/policy (26/44), chunk 5/46
[16:04:52 +39m 2s | turing] Repaired malformed JSON.
[16:04:52 +39m 2s | turing] Extracting: https://turing.com/policy (26/44), chunk 6/46
[16:04:58 +39m 7s | turing] Repaired malformed JSON.
[16:04:58 +39m 7s | turing] Extracting: https://turing.com/policy (26/44), chunk 7/46
[16:05:02 +39m 11s | turing] Extracting: https://turing.com/policy (26/44), chunk 8/46
[16:05:09 +39m 18s | turing] Extracting: https://turing.com/policy (26/44), chunk 9/46
[16:05:20 +39m 29s | turing] Repaired malformed JSON.
[16:05:20 +39m 29s | turing] Extracting: https://turing.com/policy (26/44), chunk 10/46
[16:05:27 +39m 36s | turing] Repaired malformed JSON.
[16:05:27 +39m 36s | turing] Extracting: https://turing.com/policy (26/44), chunk 11/46
[16:05:35 +39m 44s | turing] Repaired malformed JSON.
[16:05:35 +39m 44s | turing] Extracting: https://turing.com/policy (26/44), chunk 12/46
[16:05:44 +39m 53s | turing] Repaired malformed JSON.
[16:05:44 +39m 53s | turing] Extracting: https://turing.com/policy (26/44), chunk 13/46
[16:05:48 +39m 57s | turing] Extracting: https://turing.com/policy (26/44), chunk 14/46
[16:05:54 +40m 3s | turing] Repaired malformed JSON.
[16:05:54 +40m 3s | turing] Extracting: https://turing.com/policy (26/44), chunk 15/46
[16:06:02 +40m 12s | turing] Repaired malformed JSON.
[16:06:02 +40m 12s | turing] Extracting: https://turing.com/policy (26/44), chunk 16/46
[16:06:10 +40m 19s | turing] Repaired malformed JSON.
[16:06:10 +40m 19s | turing] Extracting: https://turing.com/policy (26/44), chunk 17/46
[16:06:19 +40m 28s | turing] Repaired malformed JSON.
[16:06:19 +40m 28s | turing] Extracting: https://turing.com/policy (26/44), chunk 18/46
[16:06:25 +40m 34s | turing] Repaired malformed JSON.
[16:06:25 +40m 34s | turing] Extracting: https://turing.com/policy (26/44), chunk 19/46
[16:06:31 +40m 40s | turing] Repaired malformed JSON.
[16:06:31 +40m 40s | turing] Extracting: https://turing.com/policy (26/44), chunk 20/46
[16:06:38 +40m 47s | turing] Extracting: https://turing.com/policy (26/44), chunk 21/46
[16:06:44 +40m 53s | turing] Repaired malformed JSON.
[16:06:44 +40m 53s | turing] Extracting: https://turing.com/policy (26/44), chunk 22/46
[16:06:52 +41m 2s | turing] Repaired malformed JSON.
[16:06:52 +41m 2s | turing] Extracting: https://turing.com/policy (26/44), chunk 23/46
[16:06:59 +41m 8s | turing] Repaired malformed JSON.
[16:06:59 +41m 8s | turing] Extracting: https://turing.com/policy (26/44), chunk 24/46
[16:07:19 +41m 28s | turing] Repaired malformed JSON.
[16:07:19 +41m 28s | turing] Extracting: https://turing.com/policy (26/44), chunk 25/46
[16:07:34 +41m 44s | turing] Repaired malformed JSON.
[16:07:34 +41m 44s | turing] Extracting: https://turing.com/policy (26/44), chunk 26/46
[16:07:52 +42m 1s | turing] Repaired malformed JSON.
[16:07:52 +42m 1s | turing] Extracting: https://turing.com/policy (26/44), chunk 27/46
[16:07:59 +42m 8s | turing] Repaired malformed JSON.
[16:07:59 +42m 8s | turing] Extracting: https://turing.com/policy (26/44), chunk 28/46
[16:08:19 +42m 28s | turing] Model call failed for https://turing.com/policy chunk 28: Cannot connect to host api.cloudflare.com:443 ssl:default [Temporary failure in name resolution]
[16:08:19 +42m 28s | turing] Extracting: https://turing.com/policy (26/44), chunk 29/46
[16:08:39 +42m 48s | turing] Model call failed for https://turing.com/policy chunk 29: Cannot connect to host api.cloudflare.com:443 ssl:default [Temporary failure in name resolution]
[16:08:39 +42m 48s | turing] Extracting: https://turing.com/policy (26/44), chunk 30/46
[16:08:45 +42m 54s | turing] Repaired malformed JSON.
[16:08:45 +42m 54s | turing] Extracting: https://turing.com/policy (26/44), chunk 31/46
[16:08:58 +43m 8s | turing] Extracting: https://turing.com/policy (26/44), chunk 32/46
[16:09:04 +43m 14s | turing] Repaired malformed JSON.
[16:09:04 +43m 14s | turing] Extracting: https://turing.com/policy (26/44), chunk 33/46
[16:09:09 +43m 18s | turing] Extracting: https://turing.com/policy (26/44), chunk 34/46
[16:09:17 +43m 26s | turing] Repaired malformed JSON.
[16:09:17 +43m 26s | turing] Extracting: https://turing.com/policy (26/44), chunk 35/46
[16:09:24 +43m 33s | turing] Extracting: https://turing.com/policy (26/44), chunk 36/46
[16:09:30 +43m 39s | turing] Repaired malformed JSON.
[16:09:30 +43m 39s | turing] Extracting: https://turing.com/policy (26/44), chunk 37/46
[16:09:36 +43m 45s | turing] Repaired malformed JSON.
[16:09:36 +43m 45s | turing] Extracting: https://turing.com/policy (26/44), chunk 38/46
[16:09:43 +43m 52s | turing] Repaired malformed JSON.
[16:09:43 +43m 52s | turing] Extracting: https://turing.com/policy (26/44), chunk 39/46
[16:09:49 +43m 58s | turing] Repaired malformed JSON.
[16:09:49 +43m 58s | turing] Extracting: https://turing.com/policy (26/44), chunk 40/46
[16:09:56 +44m 5s | turing] Repaired malformed JSON.
[16:09:56 +44m 5s | turing] Extracting: https://turing.com/policy (26/44), chunk 41/46
[16:10:03 +44m 12s | turing] Repaired malformed JSON.
[16:10:03 +44m 12s | turing] Extracting: https://turing.com/policy (26/44), chunk 42/46
[16:15:03 +49m 12s | turing] Model call failed for https://turing.com/policy chunk 42: 
[16:15:03 +49m 12s | turing] Extracting: https://turing.com/policy (26/44), chunk 43/46
[16:15:12 +49m 21s | turing] Repaired malformed JSON.
[16:15:12 +49m 21s | turing] Extracting: https://turing.com/policy (26/44), chunk 44/46
[16:15:20 +49m 29s | turing] Extracting: https://turing.com/policy (26/44), chunk 45/46
[16:15:24 +49m 33s | turing] Extracting: https://turing.com/policy (26/44), chunk 46/46
[16:15:31 +49m 40s | turing] Repaired malformed JSON.
[16:15:31 +49m 40s | turing] Reading page (27/44): https://www.turing.com/resources/undefined
[16:15:31 +49m 40s | turing] Extracting: https://www.turing.com/resources/undefined (27/44), chunk 1/6
[16:15:36 +49m 45s | turing] Extracting: https://www.turing.com/resources/undefined (27/44), chunk 2/6
[16:15:41 +49m 50s | turing] Extracting: https://www.turing.com/resources/undefined (27/44), chunk 3/6
[16:15:47 +49m 56s | turing] Extracting: https://www.turing.com/resources/undefined (27/44), chunk 4/6
[16:15:52 +50m 1s | turing] Extracting: https://www.turing.com/resources/undefined (27/44), chunk 5/6
[16:15:57 +50m 6s | turing] Extracting: https://www.turing.com/resources/undefined (27/44), chunk 6/6
[16:16:04 +50m 13s | turing] Repaired malformed JSON.
[16:16:04 +50m 14s | turing] Reading page (28/44): https://go.turing.com/llm-model-evaluation
[16:16:04 +50m 14s | turing] Extracting: https://go.turing.com/llm-model-evaluation (28/44), chunk 1/4
[16:16:09 +50m 18s | turing] Extracting: https://go.turing.com/llm-model-evaluation (28/44), chunk 2/4
[16:16:15 +50m 24s | turing] Repaired malformed JSON.
[16:16:15 +50m 24s | turing] Extracting: https://go.turing.com/llm-model-evaluation (28/44), chunk 3/4
[16:16:22 +50m 31s | turing] Repaired malformed JSON.
[16:16:22 +50m 31s | turing] Extracting: https://go.turing.com/llm-model-evaluation (28/44), chunk 4/4
[16:16:30 +50m 39s | turing] Repaired malformed JSON.
[16:16:30 +50m 39s | turing] Reading page (29/44): https://www.turing.com/company
[16:16:30 +50m 39s | turing] Extracting: https://www.turing.com/company (29/44), chunk 1/9
[16:16:34 +50m 43s | turing] Extracting: https://www.turing.com/company (29/44), chunk 2/9
[16:16:41 +50m 50s | turing] Extracting: https://www.turing.com/company (29/44), chunk 3/9
[16:16:49 +50m 58s | turing] Extracting: https://www.turing.com/company (29/44), chunk 4/9
[16:16:58 +51m 8s | turing] Repaired malformed JSON.
[16:16:58 +51m 8s | turing] Extracting: https://www.turing.com/company (29/44), chunk 5/9
[16:17:04 +51m 13s | turing] Repaired malformed JSON.
[16:17:04 +51m 13s | turing] Extracting: https://www.turing.com/company (29/44), chunk 6/9
[16:17:12 +51m 21s | turing] Repaired malformed JSON.
[16:17:12 +51m 21s | turing] Extracting: https://www.turing.com/company (29/44), chunk 7/9
[16:17:17 +51m 26s | turing] Extracting: https://www.turing.com/company (29/44), chunk 8/9
[16:17:22 +51m 31s | turing] Extracting: https://www.turing.com/company (29/44), chunk 9/9
[16:17:30 +51m 39s | turing] Repaired malformed JSON.
[16:17:30 +51m 39s | turing] Reading page (30/44): https://www.turing.com/blog/agi-advance-newsletter-67
[16:17:30 +51m 39s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 1/13
[16:17:33 +51m 42s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 2/13
[16:17:39 +51m 48s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 3/13
[16:17:49 +51m 58s | turing] Repaired malformed JSON.
[16:17:49 +51m 58s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 4/13
[16:17:53 +52m 2s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 5/13
[16:22:53 +57m 2s | turing] Model call failed for https://www.turing.com/blog/agi-advance-newsletter-67 chunk 5: 
[16:22:53 +57m 2s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 6/13
[16:23:01 +57m 10s | turing] Repaired malformed JSON.
[16:23:01 +57m 10s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 7/13
[16:23:08 +57m 17s | turing] Repaired malformed JSON.
[16:23:08 +57m 17s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 8/13
[16:23:14 +57m 24s | turing] Repaired malformed JSON.
[16:23:14 +57m 24s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 9/13
[16:23:25 +57m 34s | turing] Repaired malformed JSON.
[16:23:25 +57m 34s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 10/13
[16:23:33 +57m 42s | turing] Repaired malformed JSON.
[16:23:33 +57m 42s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 11/13
[16:23:41 +57m 50s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 12/13
[16:23:45 +57m 54s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-67 (30/44), chunk 13/13
[16:23:51 +58m 0s | turing] Repaired malformed JSON.
[16:23:51 +58m 0s | turing] Reading page (31/44): https://customers.turing.com/services/company
[16:23:51 +58m 0s | turing] Extracting: https://customers.turing.com/services/company (31/44), chunk 1/7
[16:23:55 +58m 4s | turing] Extracting: https://customers.turing.com/services/company (31/44), chunk 2/7
[16:23:59 +58m 8s | turing] Extracting: https://customers.turing.com/services/company (31/44), chunk 3/7
[16:24:07 +58m 16s | turing] Repaired malformed JSON.
