
========================================================================
RUN STARTED  2026-06-16 22:16:01
site_pipeline.py https://www.bluequbit.io/
========================================================================

[22:16:01 +0s | bluequbit] === 0 crawl site ===
[22:16:06 +3s | bluequbit] [INIT].... → Crawl4AI 0.8.6 
[22:16:08 +4s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/                                                                            | ✓ | ⏱: 1.28s 
[22:36:02 +18m 22s | bluequbit] Repaired malformed JSON.
[22:36:02 +18m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 10/17
[22:36:11 +18m 31s | bluequbit] Repaired malformed JSON.
[22:36:11 +18m 31s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 11/17
[22:36:18 +18m 36s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 12/17
[22:36:25 +18m 43s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 13/17
[22:36:30 +18m 48s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 14/17
[22:36:37 +18m 54s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 15/17
[22:36:42 +19m 0s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 16/17
[22:36:48 +19m 5s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 17/17
[22:36:54 +19m 10s | bluequbit] Reading page (17/46): https://www.bluequbit.io/blog/quantum-mechanical-model
[22:36:54 +19m 10s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 1/18
[22:36:59 +19m 15s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 2/18
[22:37:08 +19m 24s | bluequbit] Repaired malformed JSON.
[22:37:08 +19m 24s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 3/18
[22:37:17 +19m 33s | bluequbit] Repaired malformed JSON.
[22:37:17 +19m 33s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 4/18
[22:37:27 +19m 41s | bluequbit] Repaired malformed JSON.
[22:37:27 +19m 41s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 5/18
[22:37:36 +19m 50s | bluequbit] Repaired malformed JSON.
[22:37:36 +19m 50s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 6/18
[22:37:46 +19m 59s | bluequbit] Repaired malformed JSON.
[22:37:46 +19m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 7/18
[22:37:55 +20m 8s | bluequbit] Repaired malformed JSON.
[22:37:55 +20m 8s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 8/18
[22:38:05 +20m 16s | bluequbit] Repaired malformed JSON.
[22:38:05 +20m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 9/18
[22:38:13 +20m 24s | bluequbit] Repaired malformed JSON.
[22:38:13 +20m 24s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 10/18
[22:38:21 +20m 32s | bluequbit] Repaired malformed JSON.
[22:38:21 +20m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 11/18
[22:38:28 +20m 39s | bluequbit] Repaired malformed JSON.
[22:38:28 +20m 39s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 12/18
[22:38:38 +20m 47s | bluequbit] Repaired malformed JSON.
[22:38:38 +20m 47s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 13/18
[22:38:42 +20m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 14/18
[22:38:48 +20m 57s | bluequbit] Repaired malformed JSON.
[22:38:48 +20m 57s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 15/18
[22:39:31 +21m 40s | bluequbit] Repaired malformed JSON.
[22:39:31 +21m 40s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 16/18
[22:39:37 +21m 45s | bluequbit] Repaired malformed JSON.
[22:39:37 +21m 45s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 17/18
[22:39:44 +21m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-mechanical-model (17/46), chunk 18/18
[22:39:53 +22m 0s | bluequbit] Repaired malformed JSON.
[22:39:53 +22m 0s | bluequbit] Reading page (18/46): https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html
[22:39:53 +22m 0s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 1/22
[22:39:57 +22m 4s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 2/22
[22:40:01 +22m 8s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 3/22
[22:40:07 +22m 13s | bluequbit] Repaired malformed JSON.
[22:40:07 +22m 13s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 4/22
[22:40:18 +22m 23s | bluequbit] Repaired malformed JSON.
[22:40:18 +22m 23s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 5/22
[22:40:26 +22m 31s | bluequbit] Repaired malformed JSON.
[22:40:26 +22m 31s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 6/22
[22:40:28 +22m 33s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 7/22
[22:40:30 +22m 34s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 8/22
[22:40:35 +22m 40s | bluequbit] Repaired malformed JSON.
[22:40:35 +22m 40s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 9/22
[22:40:43 +22m 48s | bluequbit] Repaired malformed JSON.
[22:40:43 +22m 48s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 10/22
[22:40:50 +22m 54s | bluequbit] Repaired malformed JSON.
[22:40:50 +22m 54s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 11/22
[22:40:54 +22m 57s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 12/22
[22:40:56 +22m 59s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 13/22
[22:40:58 +23m 1s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 14/22
[22:41:00 +23m 3s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 15/22
[22:41:02 +23m 5s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 16/22
[22:41:08 +23m 11s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 17/22
[22:41:16 +23m 19s | bluequbit] Repaired malformed JSON.
[22:41:16 +23m 19s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 18/22
[22:41:26 +23m 27s | bluequbit] Repaired malformed JSON.
[22:41:26 +23m 27s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 19/22
[22:41:33 +23m 34s | bluequbit] Repaired malformed JSON.
[22:41:33 +23m 34s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 20/22
[22:41:35 +23m 35s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 21/22
[22:41:42 +23m 42s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/bluequbit.sdk.html (18/46), chunk 22/22
[22:41:47 +23m 48s | bluequbit] Reading page (21/46): https://www.bluequbit.io/blog/quantum-financial-system
[22:41:47 +23m 48s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 1/23
[22:41:54 +23m 54s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 2/23
[22:42:04 +24m 2s | bluequbit] Repaired malformed JSON.
[22:42:04 +24m 2s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 3/23
[22:42:10 +24m 9s | bluequbit] Repaired malformed JSON.
[22:42:10 +24m 9s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 4/23
[22:42:18 +24m 16s | bluequbit] Repaired malformed JSON.
[22:42:18 +24m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 5/23
[22:42:27 +24m 25s | bluequbit] Repaired malformed JSON.
[22:42:27 +24m 25s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 6/23
[22:42:35 +24m 31s | bluequbit] Repaired malformed JSON.
[22:42:35 +24m 31s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 7/23
[22:42:42 +24m 38s | bluequbit] Repaired malformed JSON.
[22:42:42 +24m 38s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 8/23
[22:42:50 +24m 46s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 9/23
[22:42:55 +24m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 10/23
[22:43:04 +25m 0s | bluequbit] Repaired malformed JSON.
[22:43:04 +25m 0s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 11/23
[22:43:13 +25m 6s | bluequbit] Repaired malformed JSON.
[22:43:13 +25m 6s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 12/23
[22:43:20 +25m 13s | bluequbit] Repaired malformed JSON.
[22:43:20 +25m 13s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 13/23
[22:43:28 +25m 22s | bluequbit] Repaired malformed JSON.
[22:43:28 +25m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 14/23
[22:43:37 +25m 31s | bluequbit] Repaired malformed JSON.
[22:43:37 +25m 31s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 15/23
[22:43:48 +25m 39s | bluequbit] Repaired malformed JSON.
[22:43:48 +25m 39s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 16/23
[22:43:55 +25m 46s | bluequbit] Repaired malformed JSON.
[22:43:55 +25m 46s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 17/23
[22:44:02 +25m 53s | bluequbit] Repaired malformed JSON.
[22:44:02 +25m 53s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 18/23
[22:44:09 +25m 59s | bluequbit] Repaired malformed JSON.
[22:44:09 +25m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 19/23
[22:44:18 +26m 7s | bluequbit] Repaired malformed JSON.
[22:44:18 +26m 7s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 20/23
[22:44:26 +26m 14s | bluequbit] Repaired malformed JSON.
[22:44:26 +26m 14s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 21/23
[22:44:33 +26m 22s | bluequbit] Repaired malformed JSON.
[22:44:33 +26m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 22/23
[22:44:37 +26m 26s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-financial-system (21/46), chunk 23/23
[22:44:42 +26m 31s | bluequbit] Reading page (22/46): https://www.bluequbit.io/blog/quantum-data-loading
[22:44:42 +26m 31s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 1/12
[22:44:47 +26m 35s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 2/12
[22:44:54 +26m 40s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 3/12
[22:44:58 +26m 44s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 4/12
[22:45:04 +26m 50s | bluequbit] Repaired malformed JSON.
[22:45:04 +26m 50s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 5/12
[22:45:13 +26m 59s | bluequbit] Repaired malformed JSON.
[22:45:13 +26m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 6/12
[22:45:19 +27m 5s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 7/12
[22:45:30 +27m 13s | bluequbit] Repaired malformed JSON.
[22:45:30 +27m 13s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 8/12
[22:45:38 +27m 21s | bluequbit] Repaired malformed JSON.
[22:45:38 +27m 21s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 9/12
[22:45:44 +27m 27s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 10/12
[22:45:50 +27m 33s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 11/12
[22:45:54 +27m 37s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-data-loading (22/46), chunk 12/12
[22:46:07 +27m 47s | bluequbit] Repaired malformed JSON.
[22:46:07 +27m 47s | bluequbit] Reading page (23/46): https://www.bluequbit.io/quantum-computing-companies
[22:46:07 +27m 47s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 1/18
[22:46:12 +27m 53s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 2/18
[22:46:16 +27m 57s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 3/18
[22:46:24 +28m 4s | bluequbit] Repaired malformed JSON.
[22:46:24 +28m 4s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 4/18
[22:46:32 +28m 12s | bluequbit] Repaired malformed JSON.
[22:46:32 +28m 12s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 5/18
[22:46:42 +28m 19s | bluequbit] Repaired malformed JSON.
[22:46:42 +28m 19s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 6/18
[22:46:52 +28m 30s | bluequbit] Repaired malformed JSON.
[22:46:52 +28m 30s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 7/18
[22:46:57 +28m 35s | bluequbit] Repaired malformed JSON.
[22:46:57 +28m 35s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 8/18
[22:47:03 +28m 41s | bluequbit] Repaired malformed JSON.
[22:47:03 +28m 41s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 9/18
[22:47:14 +28m 49s | bluequbit] Repaired malformed JSON.
[22:47:14 +28m 49s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 10/18
[22:47:20 +28m 56s | bluequbit] Repaired malformed JSON.
[22:47:20 +28m 56s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 11/18
[22:47:27 +29m 2s | bluequbit] Repaired malformed JSON.
[22:47:27 +29m 2s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 12/18
[22:47:35 +29m 10s | bluequbit] Repaired malformed JSON.
[22:47:35 +29m 10s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 13/18
[22:47:41 +29m 17s | bluequbit] Repaired malformed JSON.
[22:47:41 +29m 17s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 14/18
[22:47:53 +29m 25s | bluequbit] Repaired malformed JSON.
[22:47:53 +29m 25s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 15/18
[22:47:59 +29m 31s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 16/18
[22:48:05 +29m 37s | bluequbit] Repaired malformed JSON.
[22:48:05 +29m 37s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 17/18
[22:48:15 +29m 47s | bluequbit] Repaired malformed JSON.
[22:48:15 +29m 47s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-companies (23/46), chunk 18/18
[22:48:24 +29m 54s | bluequbit] Reading page (24/46): https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing
[22:48:24 +29m 54s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 1/22
[22:48:30 +29m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 2/22
[22:48:38 +30m 8s | bluequbit] Repaired malformed JSON.
[22:48:38 +30m 8s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 3/22
[22:48:46 +30m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 4/22
[22:48:57 +30m 24s | bluequbit] Repaired malformed JSON.
[22:48:57 +30m 24s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 5/22
[22:49:07 +30m 34s | bluequbit] Repaired malformed JSON.
[22:49:07 +30m 34s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 6/22
[22:49:13 +30m 40s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 7/22
[22:49:16 +30m 44s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 8/22
[22:49:20 +30m 47s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 9/22
[22:49:25 +30m 52s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 10/22
[22:49:36 +31m 0s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 11/22
[22:49:42 +31m 6s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 12/22
[22:49:46 +31m 10s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 13/22
[22:49:52 +31m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 14/22
[22:49:57 +31m 21s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 15/22
[22:50:01 +31m 25s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 16/22
[22:50:10 +31m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 17/22
[22:50:17 +31m 38s | bluequbit] Repaired malformed JSON.
[22:50:17 +31m 38s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 18/22
[22:50:21 +31m 43s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 19/22
[22:50:27 +31m 49s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 20/22
[22:50:37 +31m 59s | bluequbit] Repaired malformed JSON.
[22:50:37 +31m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 21/22
[22:50:46 +32m 5s | bluequbit] Repaired malformed JSON.
[22:50:46 +32m 5s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-vs-classical-computing (24/46), chunk 22/22
[22:50:51 +32m 10s | bluequbit] Reading page (25/46): https://www.bluequbit.io/blog/how-does-quantum-computing-work
[22:50:51 +32m 10s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 1/19
[22:51:01 +32m 20s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 2/19
[22:51:10 +32m 29s | bluequbit] Repaired malformed JSON.
[22:51:10 +32m 29s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 3/19
[22:51:20 +32m 36s | bluequbit] Repaired malformed JSON.
[22:51:20 +32m 36s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 4/19
[22:51:24 +32m 40s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 5/19
[22:51:28 +32m 44s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 6/19
[22:51:32 +32m 48s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 7/19
[22:51:38 +32m 55s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 8/19
[22:51:44 +33m 1s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 9/19
[22:51:54 +33m 7s | bluequbit] Repaired malformed JSON.
[22:51:54 +33m 7s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 10/19
[22:51:59 +33m 12s | bluequbit] Repaired malformed JSON.
[22:51:59 +33m 12s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 11/19
[22:52:06 +33m 19s | bluequbit] Repaired malformed JSON.
[22:52:06 +33m 19s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 12/19
[22:52:10 +33m 24s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 13/19
[22:52:15 +33m 28s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 14/19
[22:52:21 +33m 35s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 15/19
[22:52:32 +33m 43s | bluequbit] Repaired malformed JSON.
[22:52:32 +33m 43s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 16/19
[22:52:41 +33m 51s | bluequbit] Repaired malformed JSON.
[22:52:41 +33m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 17/19
[22:52:48 +33m 59s | bluequbit] Repaired malformed JSON.
[22:52:48 +33m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 18/19
[22:52:55 +34m 6s | bluequbit] Repaired malformed JSON.
[22:52:55 +34m 6s | bluequbit] Extracting: https://www.bluequbit.io/blog/how-does-quantum-computing-work (25/46), chunk 19/19
[22:53:02 +34m 10s | bluequbit] Reading page (26/46): https://www.bluequbit.io/google-quantum-computer
[22:53:02 +34m 10s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 1/22
[22:53:12 +34m 19s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 2/22
[22:53:19 +34m 27s | bluequbit] Repaired malformed JSON.
[22:53:19 +34m 27s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 3/22
[22:53:28 +34m 36s | bluequbit] Repaired malformed JSON.
[22:53:28 +34m 36s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 4/22
[22:53:37 +34m 43s | bluequbit] Repaired malformed JSON.
[22:53:37 +34m 43s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 5/22
[22:53:42 +34m 47s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 6/22
[22:53:50 +34m 56s | bluequbit] Repaired malformed JSON.
[22:53:50 +34m 56s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 7/22
[22:53:57 +35m 2s | bluequbit] Repaired malformed JSON.
[22:53:57 +35m 2s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 8/22
[22:54:07 +35m 12s | bluequbit] Repaired malformed JSON.
[22:54:07 +35m 12s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 9/22
[22:54:18 +35m 20s | bluequbit] Repaired malformed JSON.
[22:54:18 +35m 20s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 10/22
[22:54:24 +35m 27s | bluequbit] Repaired malformed JSON.
[22:54:24 +35m 27s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 11/22
[22:54:31 +35m 34s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 12/22
[22:54:38 +35m 40s | bluequbit] Repaired malformed JSON.
[22:54:38 +35m 40s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 13/22
[22:54:44 +35m 45s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 14/22
[22:54:51 +35m 52s | bluequbit] Repaired malformed JSON.
[22:54:51 +35m 52s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 15/22
[22:54:59 +36m 1s | bluequbit] Repaired malformed JSON.
[22:54:59 +36m 1s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 16/22
[22:55:05 +36m 7s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 17/22
[22:55:13 +36m 15s | bluequbit] Repaired malformed JSON.
[22:55:13 +36m 15s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 18/22
[22:55:22 +36m 22s | bluequbit] Repaired malformed JSON.
[22:55:22 +36m 22s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 19/22
[22:55:32 +36m 31s | bluequbit] Repaired malformed JSON.
[22:55:32 +36m 31s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 20/22
[22:55:41 +36m 41s | bluequbit] Repaired malformed JSON.
[22:55:41 +36m 41s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 21/22
[22:55:48 +36m 47s | bluequbit] Repaired malformed JSON.
[22:55:48 +36m 47s | bluequbit] Extracting: https://www.bluequbit.io/google-quantum-computer (26/46), chunk 22/22
[22:55:56 +36m 53s | bluequbit] Reading page (27/46): https://www.bluequbit.io/blog/quantum-error-correction
