
========================================================================
RUN STARTED  2026-06-17 17:31:31
site_pipeline.py https://www.intel.com/content/www/us/en/research/quantum-computing.html
========================================================================

[17:31:31 +0s | intel_content_www_us_en_research_quantum_computing_html] === 0 crawl site ===
[17:31:34 +2s | intel_content_www_us_en_research_quantum_computing_html] [INIT].... → Crawl4AI 0.8.6 
[17:31:36 +5s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 2.34s 
[20:15:23 +2h 43m 52s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:15:23 +2h 43m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 5/14
[20:15:33 +2h 44m 2s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:15:33 +2h 44m 2s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 6/14
[20:15:42 +2h 44m 11s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:15:42 +2h 44m 11s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 7/14
[20:15:53 +2h 44m 22s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:15:53 +2h 44m 22s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 8/14
[20:16:01 +2h 44m 29s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:16:01 +2h 44m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 9/14
[20:16:08 +2h 44m 37s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:16:08 +2h 44m 37s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 10/14
[20:16:18 +2h 44m 47s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:16:18 +2h 44m 47s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 11/14
[20:16:31 +2h 45m 0s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:16:31 +2h 45m 0s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 12/14
[20:16:43 +2h 45m 11s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 13/14
[20:16:48 +2h 45m 17s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/products/overview.html (118/133), chunk 14/14
[20:16:56 +2h 45m 25s | intel_content_www_us_en_research_quantum_computing_html] Reading page (119/133): https://www.intel.com/content/www/us/en/products/details/processors/atom.html
[20:16:56 +2h 45m 25s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 1/17
[20:17:01 +2h 45m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 2/17
[20:17:09 +2h 45m 38s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:17:09 +2h 45m 38s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 3/17
[20:17:13 +2h 45m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 4/17
[20:17:21 +2h 45m 49s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 5/17
[20:17:26 +2h 45m 54s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 6/17
[20:17:34 +2h 46m 3s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:17:34 +2h 46m 3s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 7/17
[20:17:40 +2h 46m 8s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 8/17
[20:17:44 +2h 46m 12s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 9/17
[20:17:50 +2h 46m 18s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 10/17
[20:17:54 +2h 46m 23s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 11/17
[20:17:59 +2h 46m 27s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 12/17
[20:18:04 +2h 46m 33s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 13/17
[20:18:08 +2h 46m 36s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 14/17
[20:18:14 +2h 46m 43s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 15/17
[20:18:20 +2h 46m 49s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 16/17
[20:18:24 +2h 46m 53s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/processors/atom.html (119/133), chunk 17/17
[20:18:32 +2h 47m 1s | intel_content_www_us_en_research_quantum_computing_html] Reading page (120/133): https://www.thailand.intel.com/content/www/th/th/siteindex.html
[20:18:32 +2h 47m 1s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 1/19
[20:18:36 +2h 47m 4s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 2/19
[20:18:44 +2h 47m 12s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:18:44 +2h 47m 12s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 3/19
[20:18:54 +2h 47m 22s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:18:54 +2h 47m 22s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 4/19
[20:19:04 +2h 47m 33s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:19:04 +2h 47m 33s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 5/19
[20:19:10 +2h 47m 39s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:19:10 +2h 47m 39s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 6/19
[20:19:19 +2h 47m 48s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:19:19 +2h 47m 48s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 7/19
[20:19:24 +2h 47m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 8/19
[20:19:28 +2h 47m 56s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 9/19
[20:19:31 +2h 48m 0s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 10/19
[20:19:36 +2h 48m 5s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 11/19
[20:19:41 +2h 48m 10s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 12/19
[20:19:45 +2h 48m 14s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 13/19
[20:19:52 +2h 48m 20s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 14/19
[20:20:01 +2h 48m 30s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:20:01 +2h 48m 30s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 15/19
[20:20:06 +2h 48m 34s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 16/19
[20:20:14 +2h 48m 43s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:20:14 +2h 48m 43s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 17/19
[20:20:19 +2h 48m 47s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 18/19
[20:20:25 +2h 48m 54s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.thailand.intel.com/content/www/th/th/siteindex.html (120/133), chunk 19/19
[20:20:31 +2h 49m 0s | intel_content_www_us_en_research_quantum_computing_html] Reading page (121/133): https://www.intel.com/content/www/us/en/products/details/servers.html
[20:20:31 +2h 49m 0s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 1/26
[20:20:35 +2h 49m 4s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 2/26
[20:20:43 +2h 49m 12s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:20:43 +2h 49m 12s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 3/26
[20:20:50 +2h 49m 19s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:20:50 +2h 49m 19s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 4/26
[20:20:54 +2h 49m 23s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 5/26
[20:20:58 +2h 49m 27s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 6/26
[20:21:05 +2h 49m 34s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:21:05 +2h 49m 34s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 7/26
[20:21:13 +2h 49m 42s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:21:13 +2h 49m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 8/26
[20:21:21 +2h 49m 50s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:21:21 +2h 49m 50s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 9/26
[20:21:26 +2h 49m 55s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 10/26
[20:21:33 +2h 50m 2s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:21:33 +2h 50m 2s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 11/26
[20:21:41 +2h 50m 10s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:21:41 +2h 50m 10s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 12/26
[20:21:50 +2h 50m 19s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:21:50 +2h 50m 19s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 13/26
[20:21:58 +2h 50m 27s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:21:58 +2h 50m 27s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 14/26
[20:22:06 +2h 50m 35s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:22:06 +2h 50m 35s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 15/26
[20:22:13 +2h 50m 42s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:22:13 +2h 50m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 16/26
[20:22:21 +2h 50m 50s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:22:21 +2h 50m 50s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 17/26
[20:22:29 +2h 50m 58s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:22:29 +2h 50m 58s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 18/26
[20:22:35 +2h 51m 4s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:22:35 +2h 51m 4s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 19/26
[20:22:40 +2h 51m 9s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 20/26
[20:22:44 +2h 51m 13s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 21/26
[20:22:50 +2h 51m 18s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 22/26
[20:22:57 +2h 51m 25s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 23/26
[20:23:02 +2h 51m 31s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 24/26
[20:23:07 +2h 51m 36s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 25/26
[20:23:13 +2h 51m 41s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/products/details/servers.html (121/133), chunk 26/26
[20:23:19 +2h 51m 48s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:23:19 +2h 51m 48s | intel_content_www_us_en_research_quantum_computing_html] Reading page (122/133): https://www.intel.com/content/www/us/en/company-overview/company-overview.html
[20:23:19 +2h 51m 48s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 1/19
[20:23:25 +2h 51m 53s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 2/19
[20:23:29 +2h 51m 58s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 3/19
[20:23:36 +2h 52m 5s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 4/19
[20:23:44 +2h 52m 13s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:23:44 +2h 52m 13s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 5/19
[20:23:48 +2h 52m 17s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 6/19
[20:23:52 +2h 52m 21s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 7/19
[20:24:03 +2h 52m 31s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:24:03 +2h 52m 31s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 8/19
[20:24:11 +2h 52m 40s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:24:11 +2h 52m 40s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 9/19
[20:24:19 +2h 52m 48s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:24:19 +2h 52m 48s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 10/19
[20:24:28 +2h 52m 57s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:24:28 +2h 52m 57s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 11/19
[20:24:37 +2h 53m 6s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:24:37 +2h 53m 6s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 12/19
[20:24:42 +2h 53m 11s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 13/19
[20:24:48 +2h 53m 17s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 14/19
[20:24:53 +2h 53m 22s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 15/19
[20:24:59 +2h 53m 27s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 16/19
[20:25:03 +2h 53m 32s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 17/19
[20:25:09 +2h 53m 37s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 18/19
[20:25:13 +2h 53m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/company-overview/company-overview.html (122/133), chunk 19/19
[20:25:22 +2h 53m 50s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:25:22 +2h 53m 51s | intel_content_www_us_en_research_quantum_computing_html] Reading page (127/133): https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021
[20:25:22 +2h 53m 51s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 1/50
[20:25:31 +2h 53m 59s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:25:31 +2h 53m 59s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 2/50
[20:25:39 +2h 54m 8s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:25:39 +2h 54m 8s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 3/50
[20:25:47 +2h 54m 16s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:25:47 +2h 54m 16s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 4/50
[20:25:56 +2h 54m 25s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:25:56 +2h 54m 25s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 5/50
[20:26:01 +2h 54m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 6/50
[20:26:12 +2h 54m 41s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:26:12 +2h 54m 41s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 7/50
[20:26:21 +2h 54m 50s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:26:21 +2h 54m 50s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 8/50
[20:26:30 +2h 54m 59s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:26:30 +2h 54m 59s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 9/50
[20:26:37 +2h 55m 5s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:26:37 +2h 55m 5s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 10/50
[20:26:45 +2h 55m 13s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:26:45 +2h 55m 13s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 11/50
[20:26:53 +2h 55m 22s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:26:53 +2h 55m 22s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 12/50
[20:27:02 +2h 55m 31s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:27:02 +2h 55m 31s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 13/50
[20:27:11 +2h 55m 39s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:27:11 +2h 55m 39s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 14/50
[20:27:17 +2h 55m 45s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:27:17 +2h 55m 45s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 15/50
[20:27:26 +2h 55m 55s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:27:26 +2h 55m 55s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 16/50
[20:27:35 +2h 56m 4s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:27:35 +2h 56m 4s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 17/50
[20:27:44 +2h 56m 12s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:27:44 +2h 56m 12s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 18/50
[20:27:51 +2h 56m 20s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:27:51 +2h 56m 20s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 19/50
[20:28:00 +2h 56m 29s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:28:00 +2h 56m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 20/50
[20:28:07 +2h 56m 35s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:28:07 +2h 56m 35s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 21/50
[20:28:15 +2h 56m 43s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:28:15 +2h 56m 43s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 22/50
[20:28:22 +2h 56m 51s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:28:22 +2h 56m 51s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 23/50
[20:28:29 +2h 56m 58s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:28:29 +2h 56m 58s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 24/50
[20:28:35 +2h 57m 4s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:28:35 +2h 57m 4s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 25/50
[20:28:41 +2h 57m 10s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:28:41 +2h 57m 10s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 26/50
[20:28:48 +2h 57m 17s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[20:28:48 +2h 57m 17s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/new-technologies/intel-newsroom-archive-2021 (127/133), chunk 27/50
[20:29:00 +2h 57m 29s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
