
========================================================================
RUN STARTED  2026-06-17 16:39:14
site_pipeline.py https://universalquantum.com/
========================================================================

[16:39:14 +0s | universalquantum] === 0 crawl site ===
[16:39:18 +4s | universalquantum] [INIT].... → Crawl4AI 0.8.6 
[16:39:20 +7s | universalquantum] [FETCH]... ↓ https://universalquantum.com/                                                                        | ✓ | ⏱: 2.34s 
[16:55:49 +16m 35s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 5/6
[16:55:55 +16m 41s | universalquantum] Repaired malformed JSON.
[16:55:55 +16m 41s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 6/6
[16:56:00 +16m 46s | universalquantum] Reading page (23/45): https://universalquantum.com/de/wissenszentrum
[16:56:00 +16m 46s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum (23/45), chunk 1/7
[16:56:01 +16m 48s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum (23/45), chunk 2/7
[16:56:05 +16m 51s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum (23/45), chunk 3/7
[16:56:11 +16m 57s | universalquantum] Repaired malformed JSON.
[16:56:11 +16m 57s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum (23/45), chunk 4/7
[16:56:18 +17m 4s | universalquantum] Repaired malformed JSON.
[16:56:18 +17m 4s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum (23/45), chunk 5/7
[16:56:24 +17m 11s | universalquantum] Repaired malformed JSON.
[16:56:24 +17m 11s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum (23/45), chunk 6/7
[16:56:33 +17m 19s | universalquantum] Repaired malformed JSON.
[16:56:33 +17m 19s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum (23/45), chunk 7/7
[16:56:39 +17m 25s | universalquantum] Reading page (24/45): https://universalquantum.com/de/node/179
[16:56:39 +17m 25s | universalquantum] Extracting: https://universalquantum.com/de/node/179 (24/45), chunk 1/1
[16:56:41 +17m 27s | universalquantum] Reading page (25/45): https://universalquantum.com/voices-of-uq/everything-is-quantum
[16:56:41 +17m 27s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 1/6
[16:56:45 +17m 31s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 2/6
[16:56:52 +17m 38s | universalquantum] Repaired malformed JSON.
[16:56:52 +17m 38s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 3/6
[16:56:58 +17m 44s | universalquantum] Repaired malformed JSON.
[16:56:58 +17m 44s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 4/6
[16:57:07 +17m 53s | universalquantum] Repaired malformed JSON.
[16:57:07 +17m 53s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 5/6
[16:57:14 +18m 1s | universalquantum] Repaired malformed JSON.
[16:57:14 +18m 1s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 6/6
[16:57:20 +18m 7s | universalquantum] Repaired malformed JSON.
[16:57:21 +18m 7s | universalquantum] Reading page (28/45): https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers
[16:57:21 +18m 7s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 1/6
[16:57:27 +18m 13s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 2/6
[16:57:34 +18m 20s | universalquantum] Repaired malformed JSON.
[16:57:34 +18m 20s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 3/6
[16:57:41 +18m 28s | universalquantum] Repaired malformed JSON.
[16:57:41 +18m 28s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 4/6
[16:57:48 +18m 34s | universalquantum] Repaired malformed JSON.
[16:57:48 +18m 34s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 5/6
[16:57:56 +18m 42s | universalquantum] Repaired malformed JSON.
[16:57:56 +18m 42s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 6/6
[16:58:01 +18m 48s | universalquantum] Reading page (29/45): https://universalquantum.com/de/node/178
[16:58:01 +18m 48s | universalquantum] Extracting: https://universalquantum.com/de/node/178 (29/45), chunk 1/1
[16:58:04 +18m 50s | universalquantum] Reading page (30/45): https://universalquantum.com
[16:58:04 +18m 50s | universalquantum] Extracting: https://universalquantum.com (30/45), chunk 1/6
[16:58:07 +18m 54s | universalquantum] Extracting: https://universalquantum.com (30/45), chunk 2/6
[16:58:13 +18m 59s | universalquantum] Extracting: https://universalquantum.com (30/45), chunk 3/6
[16:58:20 +19m 6s | universalquantum] Repaired malformed JSON.
[16:58:20 +19m 6s | universalquantum] Extracting: https://universalquantum.com (30/45), chunk 4/6
[16:58:27 +19m 13s | universalquantum] Repaired malformed JSON.
[16:58:27 +19m 13s | universalquantum] Extracting: https://universalquantum.com (30/45), chunk 5/6
[16:58:33 +19m 20s | universalquantum] Repaired malformed JSON.
[16:58:33 +19m 20s | universalquantum] Extracting: https://universalquantum.com (30/45), chunk 6/6
[16:58:37 +19m 24s | universalquantum] Reading page (31/45): https://universalquantum.com/voices-of-uq/beyond-the-code-cathy-journey-into-the-unknown
[16:58:37 +19m 24s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/beyond-the-code-cathy-journey-into-the-unknown (31/45), chunk 1/1
[16:58:39 +19m 25s | universalquantum] Reading page (33/45): https://universalquantum.com/de/wissenszentrum/technische-ressourcen
[16:58:39 +19m 25s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/technische-ressourcen (33/45), chunk 1/6
[16:58:45 +19m 31s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/technische-ressourcen (33/45), chunk 2/6
[16:58:52 +19m 39s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/technische-ressourcen (33/45), chunk 3/6
[16:59:01 +19m 47s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/technische-ressourcen (33/45), chunk 4/6
[16:59:06 +19m 53s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/technische-ressourcen (33/45), chunk 5/6
[16:59:12 +19m 58s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/technische-ressourcen (33/45), chunk 6/6
[16:59:16 +20m 3s | universalquantum] Reading page (34/45): https://universalquantum.com/knowledge-hub/development-of-a-scalable-user-friendly-quantum-processor-with-ion-trap-technology-for-dlr-qci
[16:59:16 +20m 3s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/development-of-a-scalable-user-friendly-quantum-processor-with-ion-trap-technology-for-dlr-qci (34/45), chunk 1/1
[16:59:19 +20m 5s | universalquantum] Reading page (35/45): https://universalquantum.com/voices-of-uq/from-stage-dreams-to-quantum-breakthroughs
[16:59:19 +20m 5s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/from-stage-dreams-to-quantum-breakthroughs (35/45), chunk 1/1
[16:59:20 +20m 7s | universalquantum] Reading page (37/45): https://universalquantum.com/voices-of-uq/a-quantum-climb
[16:59:20 +20m 7s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/a-quantum-climb (37/45), chunk 1/1
[16:59:22 +20m 8s | universalquantum] Reading page (38/45): https://universalquantum.com/working-here
[16:59:22 +20m 8s | universalquantum] Extracting: https://universalquantum.com/working-here (38/45), chunk 1/7
[16:59:26 +20m 12s | universalquantum] Extracting: https://universalquantum.com/working-here (38/45), chunk 2/7
[16:59:31 +20m 17s | universalquantum] Extracting: https://universalquantum.com/working-here (38/45), chunk 3/7
[16:59:35 +20m 21s | universalquantum] Extracting: https://universalquantum.com/working-here (38/45), chunk 4/7
[16:59:39 +20m 26s | universalquantum] Extracting: https://universalquantum.com/working-here (38/45), chunk 5/7
[16:59:50 +20m 36s | universalquantum] Repaired malformed JSON.
[16:59:50 +20m 36s | universalquantum] Extracting: https://universalquantum.com/working-here (38/45), chunk 6/7
[16:59:56 +20m 42s | universalquantum] Repaired malformed JSON.
[16:59:56 +20m 42s | universalquantum] Extracting: https://universalquantum.com/working-here (38/45), chunk 7/7
[17:00:01 +20m 47s | universalquantum] Reading page (39/45): https://universalquantum.com/knowledge-hub/news-blog
[17:00:01 +20m 47s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/news-blog (39/45), chunk 1/6
[17:00:16 +21m 3s | universalquantum] Repaired malformed JSON.
[17:00:16 +21m 3s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/news-blog (39/45), chunk 2/6
[17:00:35 +21m 21s | universalquantum] Repaired malformed JSON.
[17:00:35 +21m 21s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/news-blog (39/45), chunk 3/6
[17:00:42 +21m 28s | universalquantum] Repaired malformed JSON.
[17:00:42 +21m 28s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/news-blog (39/45), chunk 4/6
[17:00:50 +21m 37s | universalquantum] Repaired malformed JSON.
[17:00:50 +21m 37s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/news-blog (39/45), chunk 5/6
[17:00:58 +21m 44s | universalquantum] Repaired malformed JSON.
[17:00:58 +21m 44s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/news-blog (39/45), chunk 6/6
[17:01:03 +21m 49s | universalquantum] Reading page (41/45): https://universalquantum.com/voices-of-uq/beyond-good-intentions
[17:01:03 +21m 49s | universalquantum] Extracting: https://universalquantum.com/voices-of-uq/beyond-good-intentions (41/45), chunk 1/1
[17:01:04 +21m 51s | universalquantum] Reading page (42/45): https://universalquantum.com/de
[17:01:04 +21m 51s | universalquantum] Extracting: https://universalquantum.com/de (42/45), chunk 1/6
[17:06:05 +26m 52s | universalquantum] Model call failed for https://universalquantum.com/de chunk 1: 
[17:06:05 +26m 52s | universalquantum] Extracting: https://universalquantum.com/de (42/45), chunk 2/6
[17:06:10 +26m 56s | universalquantum] Extracting: https://universalquantum.com/de (42/45), chunk 3/6
[17:06:15 +27m 1s | universalquantum] Extracting: https://universalquantum.com/de (42/45), chunk 4/6
[17:06:23 +27m 9s | universalquantum] Repaired malformed JSON.
[17:06:23 +27m 9s | universalquantum] Extracting: https://universalquantum.com/de (42/45), chunk 5/6
[17:06:33 +27m 19s | universalquantum] Repaired malformed JSON.
[17:06:33 +27m 19s | universalquantum] Extracting: https://universalquantum.com/de (42/45), chunk 6/6
[17:06:38 +27m 25s | universalquantum] Reading page (44/45): https://universalquantum.com/de/hier-arbeiten
[17:06:38 +27m 25s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 1/10
[17:06:42 +27m 29s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 2/10
[17:06:46 +27m 33s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 3/10
[17:06:51 +27m 38s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 4/10
[17:06:58 +27m 44s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 5/10
[17:07:02 +27m 49s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 6/10
[17:07:09 +27m 55s | universalquantum] Repaired malformed JSON.
[17:07:09 +27m 55s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 7/10
[17:12:09 +32m 56s | universalquantum] Model call failed for https://universalquantum.com/de/hier-arbeiten chunk 7: 
[17:12:09 +32m 56s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 8/10
[17:12:16 +33m 2s | universalquantum] Repaired malformed JSON.
[17:12:16 +33m 2s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 9/10
[17:12:25 +33m 12s | universalquantum] Repaired malformed JSON.
[17:12:25 +33m 12s | universalquantum] Extracting: https://universalquantum.com/de/hier-arbeiten (44/45), chunk 10/10
[17:12:33 +33m 19s | universalquantum] Repaired malformed JSON.
[17:12:33 +33m 19s | universalquantum] Reading page (45/45): https://universalquantum.com/de/wer-wir-sind
[17:12:33 +33m 19s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 1/14
[17:12:37 +33m 24s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 2/14
[17:12:41 +33m 28s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 3/14
[17:12:49 +33m 35s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 4/14
[17:12:56 +33m 42s | universalquantum] Repaired malformed JSON.
[17:12:56 +33m 42s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 5/14
[17:13:02 +33m 48s | universalquantum] Repaired malformed JSON.
[17:13:02 +33m 48s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 6/14
[17:13:09 +33m 55s | universalquantum] Repaired malformed JSON.
[17:13:09 +33m 55s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 7/14
[17:13:17 +34m 4s | universalquantum] Repaired malformed JSON.
[17:13:17 +34m 4s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 8/14
[17:13:24 +34m 10s | universalquantum] Repaired malformed JSON.
[17:13:24 +34m 10s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 9/14
[17:13:32 +34m 18s | universalquantum] Repaired malformed JSON.
[17:13:32 +34m 18s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 10/14
[17:13:41 +34m 27s | universalquantum] Repaired malformed JSON.
[17:13:41 +34m 27s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 11/14
[17:13:48 +34m 34s | universalquantum] Repaired malformed JSON.
[17:13:48 +34m 34s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 12/14
[17:14:12 +34m 58s | universalquantum] Repaired malformed JSON.
[17:14:12 +34m 58s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 13/14
[17:14:21 +35m 7s | universalquantum] Repaired malformed JSON.
[17:14:21 +35m 7s | universalquantum] Extracting: https://universalquantum.com/de/wer-wir-sind (45/45), chunk 14/14
[17:14:31 +35m 17s | universalquantum] Repaired malformed JSON.
[17:14:31 +35m 17s | universalquantum] Saved 1_actor_results.json with 293 extracted records

[17:14:31 +35m 17s | universalquantum] === 2 clean actors ===
[17:14:32 +35m 19s | universalquantum] Loaded 293 extracted records
[17:14:32 +35m 19s | universalquantum] Saved 2_actor_nodes.json with 35 canonical actor nodes

[17:14:32 +35m 19s | universalquantum] === 3 interaction extraction ===
[17:14:33 +35m 19s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/technical-resources (1/45), chunk 2/6
[17:14:39 +35m 25s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/technical-resources (1/45), chunk 6/6
[17:14:43 +35m 29s | universalquantum] Extracting interactions: https://universalquantum.com/contact-us (4/45), chunk 1/2
[17:14:47 +35m 33s | universalquantum] Extracting interactions: https://universalquantum.com/contact-us (4/45), chunk 2/2
[17:14:53 +35m 39s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/13 (6/45), chunk 2/23
[17:14:57 +35m 44s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/13 (6/45), chunk 3/23
[17:15:01 +35m 47s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/13 (6/45), chunk 4/23
[17:15:10 +35m 56s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/13 (6/45), chunk 5/23
[17:15:17 +36m 3s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/13 (6/45), chunk 8/23
[17:15:24 +36m 10s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/13 (6/45), chunk 9/23
[17:15:28 +36m 14s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/13 (6/45), chunk 22/23
[17:15:32 +36m 18s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/13 (6/45), chunk 23/23
[17:15:34 +36m 20s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/181 (9/45), chunk 2/6
[17:15:39 +36m 26s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/181 (9/45), chunk 3/6
[17:15:47 +36m 33s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/181 (9/45), chunk 4/6
[17:15:54 +36m 41s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/181 (9/45), chunk 5/6
[17:16:01 +36m 47s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/181 (9/45), chunk 6/6
[17:16:04 +36m 50s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 1/10
[17:16:07 +36m 53s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 2/10
[17:16:12 +36m 58s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 3/10
[17:16:34 +37m 20s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 4/10
[17:16:54 +37m 41s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 5/10
[17:16:59 +37m 45s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 6/10
[17:17:13 +37m 59s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 7/10
[17:17:32 +38m 19s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 8/10
[17:17:47 +38m 34s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 9/10
[17:17:58 +38m 44s | universalquantum] Extracting interactions: https://universalquantum.com/who-we-are (10/45), chunk 10/10
[17:18:01 +38m 47s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 2/6
[17:18:05 +38m 51s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 3/6
[17:18:12 +38m 58s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 4/6
[17:18:25 +39m 11s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 5/6
[17:18:33 +39m 20s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 6/6
[17:18:35 +39m 22s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub (13/45), chunk 1/6
[17:18:39 +39m 25s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub (13/45), chunk 2/6
[17:18:45 +39m 32s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub (13/45), chunk 3/6
[17:18:54 +39m 40s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub (13/45), chunk 4/6
[17:19:01 +39m 47s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub (13/45), chunk 5/6
[17:19:04 +39m 51s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub (13/45), chunk 6/6
[17:19:08 +39m 55s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 2/7
[17:19:12 +39m 59s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 3/7
[17:19:18 +40m 5s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 4/7
[17:19:24 +40m 11s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 5/7
[17:19:29 +40m 16s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 6/7
[17:19:36 +40m 23s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 7/7
[17:19:41 +40m 28s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 2/7
[17:19:43 +40m 29s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 3/7
[17:19:51 +40m 37s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 4/7
[17:20:01 +40m 47s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 5/7
[17:20:09 +40m 56s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 6/7
[17:20:16 +41m 2s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 7/7
[17:20:21 +41m 7s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 2/8
[17:20:26 +41m 12s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 3/8
[17:20:33 +41m 20s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 4/8
[17:20:48 +41m 35s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 5/8
[17:20:59 +41m 45s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 6/8
[17:21:07 +41m 54s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 7/8
[17:21:14 +42m 1s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 8/8
[17:21:17 +42m 3s | universalquantum] Extracting interactions: https://universalquantum.com/what-we-do (18/45), chunk 1/5
[17:21:24 +42m 10s | universalquantum] Extracting interactions: https://universalquantum.com/what-we-do (18/45), chunk 2/5
[17:21:28 +42m 14s | universalquantum] Extracting interactions: https://universalquantum.com/what-we-do (18/45), chunk 4/5
[17:21:35 +42m 21s | universalquantum] Extracting interactions: https://universalquantum.com/what-we-do (18/45), chunk 5/5
[17:21:38 +42m 24s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/180 (19/45), chunk 2/8
[17:21:44 +42m 30s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/180 (19/45), chunk 3/8
[17:21:50 +42m 36s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/180 (19/45), chunk 4/8
[17:21:57 +42m 43s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/180 (19/45), chunk 5/8
[17:22:13 +42m 59s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/180 (19/45), chunk 6/8
[17:22:25 +43m 11s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/180 (19/45), chunk 7/8
[17:22:34 +43m 20s | universalquantum] Extracting interactions: https://universalquantum.com/de/node/180 (19/45), chunk 8/8
[17:22:38 +43m 25s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 2/6
[17:22:40 +43m 26s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 3/6
[17:22:47 +43m 33s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 4/6
[17:22:54 +43m 40s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 5/6
[17:23:01 +43m 47s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 6/6
[17:23:03 +43m 49s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum (23/45), chunk 2/7
[17:23:06 +43m 53s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum (23/45), chunk 3/7
[17:23:14 +44m 0s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum (23/45), chunk 4/7
[17:23:22 +44m 9s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum (23/45), chunk 5/7
[17:23:29 +44m 15s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum (23/45), chunk 6/7
[17:23:32 +44m 18s | universalquantum] Extracting interactions: https://universalquantum.com/de/wissenszentrum (23/45), chunk 7/7
[17:23:36 +44m 22s | universalquantum] Extracting interactions: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 2/6
[17:23:40 +44m 27s | universalquantum] Extracting interactions: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 3/6
[17:23:48 +44m 35s | universalquantum] Extracting interactions: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 4/6
[17:23:52 +44m 38s | universalquantum] Extracting interactions: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 5/6
[17:24:01 +44m 47s | universalquantum] Extracting interactions: https://universalquantum.com/voices-of-uq/everything-is-quantum (25/45), chunk 6/6
[17:24:05 +44m 52s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 2/6
[17:24:09 +44m 56s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 3/6
[17:24:16 +45m 2s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 4/6
[17:24:27 +45m 13s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 5/6
[17:24:39 +45m 25s | universalquantum] Extracting interactions: https://universalquantum.com/knowledge-hub/podcast/the-wiring-problem-in-large-scale-quantum-computers (28/45), chunk 6/6
[17:24:41 +45m 27s | universalquantum] Extracting interactions: https://universalquantum.com (30/45), chunk 1/6
[17:24:44 +45m 31s | universalquantum] Extracting interactions: https://universalquantum.com (30/45), chunk 2/6
[17:24:50 +45m 36s | universalquantum] Extracting interactions: https://universalquantum.com (30/45), chunk 3/6
