
========================================================================
RUN STARTED  2026-06-17 01:15:44
site_pipeline.py https://eleqtron.com/
========================================================================

[01:15:44 +0s | eleqtron] === 0 crawl site ===
[01:15:49 +2s | eleqtron] [INIT].... → Crawl4AI 0.8.6 
[01:15:52 +5s | eleqtron] [FETCH]... ↓ https://eleqtron.com/                                                                                | ✓ | ⏱: 2.49s 
[01:27:48 +11m 13s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 12/14
[01:27:54 +11m 19s | eleqtron] Repaired malformed JSON.
[01:27:54 +11m 19s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 13/14
[01:28:00 +11m 25s | eleqtron] Repaired malformed JSON.
[01:28:00 +11m 25s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 14/14
[01:28:06 +11m 31s | eleqtron] Repaired malformed JSON.
[01:28:06 +11m 31s | eleqtron] Reading page (14/53): https://eleqtron.com/wp-content/uploads/2026/04/Design-ohne-Titel-11-scaled.jpg
[01:28:06 +11m 31s | eleqtron] Extracting: https://eleqtron.com/wp-content/uploads/2026/04/Design-ohne-Titel-11-scaled.jpg (14/53), chunk 1/1
[01:28:07 +11m 33s | eleqtron] Reading page (17/53): https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Michael-Johanning-CTO-20250821.jpg
[01:28:07 +11m 33s | eleqtron] Extracting: https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Michael-Johanning-CTO-20250821.jpg (17/53), chunk 1/1
[01:28:15 +11m 38s | eleqtron] Reading page (18/53): https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d
[01:28:15 +11m 38s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 1/10
[01:28:20 +11m 43s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 2/10
[01:28:25 +11m 48s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 3/10
[01:28:30 +11m 53s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 4/10
[01:28:35 +11m 57s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 5/10
[01:28:41 +12m 4s | eleqtron] Repaired malformed JSON.
[01:28:41 +12m 4s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 6/10
[01:28:50 +12m 11s | eleqtron] Repaired malformed JSON.
[01:28:50 +12m 11s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 7/10
[01:28:58 +12m 19s | eleqtron] Repaired malformed JSON.
[01:28:58 +12m 19s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 8/10
[01:29:03 +12m 24s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 9/10
[01:29:13 +12m 34s | eleqtron] Repaired malformed JSON.
[01:29:13 +12m 34s | eleqtron] Extracting: https://eleqtron.com/jobs/junior-optics-and-laser-engineer-m-w-d (18/53), chunk 10/10
[01:29:17 +12m 37s | eleqtron] Reading page (19/53): https://eleqtron.com/wp-content/uploads/2026/05/20260430_Pressemitteilung_eleQtron_SeriesA-3.jpg
[01:29:17 +12m 37s | eleqtron] Extracting: https://eleqtron.com/wp-content/uploads/2026/05/20260430_Pressemitteilung_eleQtron_SeriesA-3.jpg (19/53), chunk 1/1
[01:29:22 +12m 42s | eleqtron] Reading page (20/53): https://eleqtron.com/en/press
[01:29:22 +12m 42s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 1/11
[01:29:23 +12m 44s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 2/11
[01:29:31 +12m 51s | eleqtron] Repaired malformed JSON.
[01:29:31 +12m 51s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 3/11
[01:29:39 +13m 0s | eleqtron] Repaired malformed JSON.
[01:29:39 +13m 0s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 4/11
[01:29:47 +13m 8s | eleqtron] Repaired malformed JSON.
[01:29:47 +13m 8s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 5/11
[01:29:55 +13m 14s | eleqtron] Repaired malformed JSON.
[01:29:55 +13m 14s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 6/11
[01:30:03 +13m 22s | eleqtron] Repaired malformed JSON.
[01:30:03 +13m 22s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 7/11
[01:30:10 +13m 28s | eleqtron] Repaired malformed JSON.
[01:30:10 +13m 28s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 8/11
[01:30:16 +13m 35s | eleqtron] Repaired malformed JSON.
[01:30:16 +13m 35s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 9/11
[01:30:22 +13m 41s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 10/11
[01:30:32 +13m 48s | eleqtron] Repaired malformed JSON.
[01:30:32 +13m 48s | eleqtron] Extracting: https://eleqtron.com/en/press (20/53), chunk 11/11
[01:30:40 +13m 56s | eleqtron] Repaired malformed JSON.
[01:30:40 +13m 56s | eleqtron] Reading page (21/53): https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern
[01:30:40 +13m 56s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 1/9
[01:30:47 +14m 3s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 2/9
[01:30:54 +14m 11s | eleqtron] Repaired malformed JSON.
[01:30:54 +14m 11s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 3/9
[01:31:02 +14m 17s | eleqtron] Repaired malformed JSON.
[01:31:02 +14m 17s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 4/9
[01:31:08 +14m 23s | eleqtron] Repaired malformed JSON.
[01:31:08 +14m 23s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 5/9
[01:31:14 +14m 29s | eleqtron] Repaired malformed JSON.
[01:31:14 +14m 29s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 6/9
[01:31:22 +14m 37s | eleqtron] Repaired malformed JSON.
[01:31:22 +14m 37s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 7/9
[01:31:26 +14m 42s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 8/9
[01:31:31 +14m 46s | eleqtron] Extracting: https://eleqtron.com/deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern (21/53), chunk 9/9
[01:31:39 +14m 53s | eleqtron] Repaired malformed JSON.
[01:31:39 +14m 53s | eleqtron] Reading page (22/53): https://eleqtron.com/datenschutzerklaerung
[01:31:39 +14m 53s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 1/39
[01:31:41 +14m 54s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 2/39
[01:31:47 +15m 1s | eleqtron] Repaired malformed JSON.
[01:31:47 +15m 1s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 3/39
[01:31:53 +15m 6s | eleqtron] Repaired malformed JSON.
[01:31:53 +15m 6s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 4/39
[01:31:58 +15m 12s | eleqtron] Repaired malformed JSON.
[01:31:58 +15m 12s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 5/39
[01:32:05 +15m 19s | eleqtron] Repaired malformed JSON.
[01:32:05 +15m 19s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 6/39
[01:32:09 +15m 20s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 7/39
[01:32:17 +15m 28s | eleqtron] Repaired malformed JSON.
[01:32:17 +15m 28s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 8/39
[01:32:22 +15m 34s | eleqtron] Repaired malformed JSON.
[01:32:22 +15m 34s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 9/39
[01:32:28 +15m 39s | eleqtron] Repaired malformed JSON.
[01:32:28 +15m 39s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 10/39
[01:32:35 +15m 46s | eleqtron] Repaired malformed JSON.
[01:32:35 +15m 46s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 11/39
[01:32:40 +15m 51s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 12/39
[01:32:46 +15m 55s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 13/39
[01:32:48 +15m 57s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 14/39
[01:32:51 +16m 0s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 15/39
[01:32:55 +16m 4s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 16/39
[01:33:01 +16m 10s | eleqtron] Repaired malformed JSON.
[01:33:01 +16m 10s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 17/39
[01:33:07 +16m 16s | eleqtron] Repaired malformed JSON.
[01:33:07 +16m 16s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 18/39
[01:33:13 +16m 22s | eleqtron] Repaired malformed JSON.
[01:33:13 +16m 22s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 19/39
[01:33:21 +16m 27s | eleqtron] Repaired malformed JSON.
[01:33:21 +16m 27s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 20/39
[01:33:27 +16m 33s | eleqtron] Repaired malformed JSON.
[01:33:27 +16m 33s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 21/39
[01:33:31 +16m 38s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 22/39
[01:33:37 +16m 43s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 23/39
[01:33:43 +16m 49s | eleqtron] Repaired malformed JSON.
[01:33:43 +16m 49s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 24/39
[01:33:49 +16m 55s | eleqtron] Repaired malformed JSON.
[01:33:49 +16m 55s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 25/39
[01:33:57 +17m 1s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 26/39
[01:34:03 +17m 7s | eleqtron] Repaired malformed JSON.
[01:34:03 +17m 7s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 27/39
[01:34:05 +17m 9s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 28/39
[01:34:06 +17m 10s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 29/39
[01:34:08 +17m 12s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 30/39
[01:34:10 +17m 14s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 31/39
[01:34:15 +17m 19s | eleqtron] Repaired malformed JSON.
[01:34:15 +17m 19s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 32/39
[01:34:21 +17m 25s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 33/39
[01:34:28 +17m 29s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 34/39
[01:34:36 +17m 37s | eleqtron] Repaired malformed JSON.
[01:34:36 +17m 37s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 35/39
[01:34:42 +17m 44s | eleqtron] Repaired malformed JSON.
[01:34:42 +17m 44s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 36/39
[01:34:48 +17m 49s | eleqtron] Repaired malformed JSON.
[01:34:48 +17m 49s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 37/39
[01:34:52 +17m 54s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 38/39
[01:35:04 +18m 2s | eleqtron] Repaired malformed JSON.
[01:35:04 +18m 2s | eleqtron] Extracting: https://eleqtron.com/datenschutzerklaerung (22/53), chunk 39/39
[01:35:10 +18m 8s | eleqtron] Repaired malformed JSON.
[01:35:10 +18m 8s | eleqtron] Reading page (23/53): https://eleqtron.com/event/ionhack-2026-quantum-hackathon
[01:35:10 +18m 8s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 1/12
[01:35:15 +18m 14s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 2/12
[01:35:22 +18m 21s | eleqtron] Repaired malformed JSON.
[01:35:22 +18m 21s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 3/12
[01:35:28 +18m 26s | eleqtron] Repaired malformed JSON.
[01:35:28 +18m 26s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 4/12
[01:35:34 +18m 33s | eleqtron] Repaired malformed JSON.
[01:35:34 +18m 33s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 5/12
[01:35:45 +18m 41s | eleqtron] Repaired malformed JSON.
[01:35:45 +18m 41s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 6/12
[01:35:52 +18m 48s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 7/12
[01:35:58 +18m 54s | eleqtron] Repaired malformed JSON.
[01:35:58 +18m 54s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 8/12
[01:36:04 +19m 0s | eleqtron] Repaired malformed JSON.
[01:36:04 +19m 0s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 9/12
[01:36:13 +19m 6s | eleqtron] Repaired malformed JSON.
[01:36:13 +19m 6s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 10/12
[01:36:17 +19m 11s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 11/12
[01:36:23 +19m 17s | eleqtron] Extracting: https://eleqtron.com/event/ionhack-2026-quantum-hackathon (23/53), chunk 12/12
[01:36:27 +19m 21s | eleqtron] Reading page (24/53): https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative
[01:36:27 +19m 21s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 1/12
[01:36:35 +19m 29s | eleqtron] Repaired malformed JSON.
[01:36:35 +19m 29s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 2/12
[01:36:40 +19m 34s | eleqtron] Repaired malformed JSON.
[01:36:40 +19m 34s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 3/12
[01:36:50 +19m 41s | eleqtron] Repaired malformed JSON.
[01:36:50 +19m 41s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 4/12
[01:36:57 +19m 49s | eleqtron] Repaired malformed JSON.
[01:36:57 +19m 49s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 5/12
[01:37:05 +19m 56s | eleqtron] Repaired malformed JSON.
[01:37:05 +19m 56s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 6/12
[01:37:11 +20m 2s | eleqtron] Repaired malformed JSON.
[01:37:11 +20m 2s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 7/12
[01:37:18 +20m 9s | eleqtron] Repaired malformed JSON.
[01:37:18 +20m 9s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 8/12
[01:37:26 +20m 15s | eleqtron] Repaired malformed JSON.
[01:37:26 +20m 15s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 9/12
[01:37:34 +20m 22s | eleqtron] Repaired malformed JSON.
[01:37:34 +20m 22s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 10/12
[01:37:40 +20m 28s | eleqtron] Repaired malformed JSON.
[01:37:40 +20m 28s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 11/12
[01:37:46 +20m 35s | eleqtron] Repaired malformed JSON.
[01:37:46 +20m 35s | eleqtron] Extracting: https://eleqtron.com/nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative (24/53), chunk 12/12
[01:37:52 +20m 40s | eleqtron] Repaired malformed JSON.
[01:37:52 +20m 40s | eleqtron] Reading page (25/53): https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d
[01:37:52 +20m 40s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 1/10
[01:37:59 +20m 45s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 2/10
[01:38:03 +20m 49s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 3/10
[01:38:07 +20m 53s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 4/10
[01:38:12 +20m 58s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 5/10
[01:38:18 +21m 3s | eleqtron] Repaired malformed JSON.
[01:38:18 +21m 3s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 6/10
[01:38:22 +21m 8s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 7/10
[01:38:28 +21m 13s | eleqtron] Repaired malformed JSON.
[01:38:28 +21m 13s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 8/10
[01:38:34 +21m 17s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 9/10
[01:38:38 +21m 22s | eleqtron] Extracting: https://eleqtron.com/jobs/software-engineer-python-control-software-m-w-d (25/53), chunk 10/10
[01:38:43 +21m 26s | eleqtron] Reading page (26/53): https://eleqtron.com/en/contact
[01:38:43 +21m 26s | eleqtron] Extracting: https://eleqtron.com/en/contact (26/53), chunk 1/7
[01:38:47 +21m 30s | eleqtron] Extracting: https://eleqtron.com/en/contact (26/53), chunk 2/7
[01:38:56 +21m 39s | eleqtron] Extracting: https://eleqtron.com/en/contact (26/53), chunk 3/7
[01:39:04 +21m 47s | eleqtron] Repaired malformed JSON.
[01:39:04 +21m 47s | eleqtron] Extracting: https://eleqtron.com/en/contact (26/53), chunk 4/7
[01:39:12 +21m 53s | eleqtron] Repaired malformed JSON.
[01:39:12 +21m 53s | eleqtron] Extracting: https://eleqtron.com/en/contact (26/53), chunk 5/7
[01:39:18 +21m 58s | eleqtron] Extracting: https://eleqtron.com/en/contact (26/53), chunk 6/7
[01:39:24 +22m 5s | eleqtron] Repaired malformed JSON.
[01:39:24 +22m 5s | eleqtron] Extracting: https://eleqtron.com/en/contact (26/53), chunk 7/7
[01:39:31 +22m 12s | eleqtron] Repaired malformed JSON.
[01:39:31 +22m 12s | eleqtron] Reading page (27/53): https://eleqtron.com/impressum
[01:39:31 +22m 12s | eleqtron] Extracting: https://eleqtron.com/impressum (27/53), chunk 1/4
[01:39:35 +22m 15s | eleqtron] Extracting: https://eleqtron.com/impressum (27/53), chunk 2/4
[01:39:43 +22m 21s | eleqtron] Repaired malformed JSON.
[01:39:43 +22m 21s | eleqtron] Extracting: https://eleqtron.com/impressum (27/53), chunk 3/4
[01:39:47 +22m 25s | eleqtron] Extracting: https://eleqtron.com/impressum (27/53), chunk 4/4
[01:39:50 +22m 28s | eleqtron] Reading page (28/53): https://eleqtron.com/en
[01:39:50 +22m 28s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 1/11
[01:39:51 +22m 29s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 2/11
[01:39:58 +22m 35s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 3/11
[01:40:05 +22m 43s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 4/11
[01:40:12 +22m 50s | eleqtron] Repaired malformed JSON.
[01:40:12 +22m 50s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 5/11
[01:40:21 +22m 56s | eleqtron] Repaired malformed JSON.
[01:40:21 +22m 56s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 6/11
[01:40:28 +23m 4s | eleqtron] Repaired malformed JSON.
[01:40:28 +23m 4s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 7/11
[01:40:35 +23m 11s | eleqtron] Repaired malformed JSON.
[01:40:35 +23m 11s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 8/11
[01:40:43 +23m 18s | eleqtron] Repaired malformed JSON.
[01:40:43 +23m 18s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 9/11
[01:40:44 +23m 19s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 10/11
[01:40:56 +23m 28s | eleqtron] Repaired malformed JSON.
[01:40:56 +23m 28s | eleqtron] Extracting: https://eleqtron.com/en (28/53), chunk 11/11
[01:41:02 +23m 34s | eleqtron] Repaired malformed JSON.
[01:41:02 +23m 34s | eleqtron] Reading page (29/53): https://eleqtron.com/en/company
[01:41:02 +23m 34s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 1/11
[01:41:07 +23m 40s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 2/11
[01:41:11 +23m 43s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 3/11
[01:41:16 +23m 48s | eleqtron] Repaired malformed JSON.
[01:41:16 +23m 48s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 4/11
[01:41:27 +23m 57s | eleqtron] Repaired malformed JSON.
[01:41:27 +23m 57s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 5/11
[01:41:33 +24m 2s | eleqtron] Repaired malformed JSON.
[01:41:33 +24m 2s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 6/11
[01:41:38 +24m 8s | eleqtron] Repaired malformed JSON.
[01:41:38 +24m 8s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 7/11
[01:41:46 +24m 15s | eleqtron] Repaired malformed JSON.
[01:41:46 +24m 15s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 8/11
[01:41:50 +24m 20s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 9/11
[01:41:56 +24m 26s | eleqtron] Repaired malformed JSON.
[01:41:56 +24m 26s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 10/11
[01:42:08 +24m 35s | eleqtron] Repaired malformed JSON.
[01:42:08 +24m 35s | eleqtron] Extracting: https://eleqtron.com/en/company (29/53), chunk 11/11
[01:42:15 +24m 42s | eleqtron] Repaired malformed JSON.
[01:42:15 +24m 42s | eleqtron] Reading page (30/53): https://eleqtron.com/kontakt
[01:42:15 +24m 42s | eleqtron] Extracting: https://eleqtron.com/kontakt (30/53), chunk 1/7
[01:42:19 +24m 46s | eleqtron] Extracting: https://eleqtron.com/kontakt (30/53), chunk 2/7
[01:42:28 +24m 55s | eleqtron] Extracting: https://eleqtron.com/kontakt (30/53), chunk 3/7
[01:42:38 +25m 2s | eleqtron] Repaired malformed JSON.
[01:42:38 +25m 2s | eleqtron] Extracting: https://eleqtron.com/kontakt (30/53), chunk 4/7
[01:42:43 +25m 7s | eleqtron] Repaired malformed JSON.
[01:42:43 +25m 7s | eleqtron] Extracting: https://eleqtron.com/kontakt (30/53), chunk 5/7
[01:42:47 +25m 11s | eleqtron] Extracting: https://eleqtron.com/kontakt (30/53), chunk 6/7
[01:42:50 +25m 14s | eleqtron] Extracting: https://eleqtron.com/kontakt (30/53), chunk 7/7
[01:42:58 +25m 22s | eleqtron] Reading page (31/53): https://eleqtron.com/produkt
[01:42:58 +25m 22s | eleqtron] Extracting: https://eleqtron.com/produkt (31/53), chunk 1/12
[01:42:59 +25m 24s | eleqtron] Extracting: https://eleqtron.com/produkt (31/53), chunk 2/12
[01:43:07 +25m 31s | eleqtron] Repaired malformed JSON.
[01:43:07 +25m 31s | eleqtron] Extracting: https://eleqtron.com/produkt (31/53), chunk 3/12
[01:43:18 +25m 40s | eleqtron] Repaired malformed JSON.
[01:43:18 +25m 40s | eleqtron] Extracting: https://eleqtron.com/produkt (31/53), chunk 4/12
[01:43:22 +25m 44s | eleqtron] Extracting: https://eleqtron.com/produkt (31/53), chunk 5/12
[01:43:27 +25m 48s | eleqtron] Extracting: https://eleqtron.com/produkt (31/53), chunk 6/12
[01:43:30 +25m 52s | eleqtron] Extracting: https://eleqtron.com/produkt (31/53), chunk 7/12
[01:43:38 +25m 59s | eleqtron] Repaired malformed JSON.
