
========================================================================
RUN STARTED  2026-06-17 04:42:06
site_pipeline.py https://www.proteinqure.com/
========================================================================

[04:42:06 +0s | proteinqure] === 0 crawl site ===
[04:42:08 +2s | proteinqure] [INIT].... → Crawl4AI 0.8.6 
[04:42:09 +3s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/                                                                         | ✓ | ⏱: 1.62s 
[05:00:15 +16m 48s | proteinqure] Repaired malformed JSON.
[05:00:15 +16m 48s | proteinqure] Extracting: https://www.proteinqure.com/contact (30/41), chunk 3/4
[05:00:26 +16m 55s | proteinqure] Repaired malformed JSON.
[05:00:26 +16m 55s | proteinqure] Extracting: https://www.proteinqure.com/contact (30/41), chunk 4/4
[05:00:33 +17m 2s | proteinqure] Repaired malformed JSON.
[05:00:33 +17m 2s | proteinqure] Reading page (31/41): https://www.proteinqure.com/category/blog-posts
[05:00:33 +17m 2s | proteinqure] Extracting: https://www.proteinqure.com/category/blog-posts (31/41), chunk 1/2
[05:00:39 +17m 9s | proteinqure] Repaired malformed JSON.
[05:00:39 +17m 9s | proteinqure] Extracting: https://www.proteinqure.com/category/blog-posts (31/41), chunk 2/2
[05:00:45 +17m 15s | proteinqure] Reading page (32/41): https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens
[05:00:45 +17m 15s | proteinqure] Extracting: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 1/8
[05:00:51 +17m 20s | proteinqure] Extracting: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 2/8
[05:01:00 +17m 27s | proteinqure] Repaired malformed JSON.
[05:01:00 +17m 27s | proteinqure] Extracting: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 3/8
[05:01:06 +17m 33s | proteinqure] Repaired malformed JSON.
[05:01:06 +17m 33s | proteinqure] Extracting: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 4/8
[05:01:10 +17m 37s | proteinqure] Extracting: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 5/8
[05:01:17 +17m 44s | proteinqure] Repaired malformed JSON.
[05:01:17 +17m 44s | proteinqure] Extracting: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 6/8
[05:01:23 +17m 50s | proteinqure] Repaired malformed JSON.
[05:01:23 +17m 50s | proteinqure] Extracting: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 7/8
[05:01:32 +17m 56s | proteinqure] Repaired malformed JSON.
[05:01:32 +17m 56s | proteinqure] Extracting: https://www.proteinqure.com/differences-in-breast-cancer-through-a-biochemical-lens (32/41), chunk 8/8
[05:01:39 +18m 4s | proteinqure] Repaired malformed JSON.
[05:01:39 +18m 4s | proteinqure] Reading page (33/41): https://www.proteinqure.com
[05:01:39 +18m 4s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 1/10
[05:01:44 +18m 8s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 2/10
[05:01:50 +18m 14s | proteinqure] Repaired malformed JSON.
[05:01:50 +18m 14s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 3/10
[05:01:57 +18m 21s | proteinqure] Repaired malformed JSON.
[05:01:57 +18m 21s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 4/10
[05:02:06 +18m 28s | proteinqure] Repaired malformed JSON.
[05:02:06 +18m 28s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 5/10
[05:02:12 +18m 34s | proteinqure] Repaired malformed JSON.
[05:02:12 +18m 34s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 6/10
[05:02:19 +18m 40s | proteinqure] Repaired malformed JSON.
[05:02:19 +18m 40s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 7/10
[05:02:26 +18m 47s | proteinqure] Repaired malformed JSON.
[05:02:26 +18m 47s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 8/10
[05:02:34 +18m 55s | proteinqure] Repaired malformed JSON.
[05:02:34 +18m 55s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 9/10
[05:02:44 +19m 3s | proteinqure] Repaired malformed JSON.
[05:02:44 +19m 3s | proteinqure] Extracting: https://www.proteinqure.com (33/41), chunk 10/10
[05:02:51 +19m 10s | proteinqure] Reading page (34/41): https://proteinqure.com/news
[05:02:51 +19m 10s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 1/9
[05:02:56 +19m 14s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 2/9
[05:03:02 +19m 20s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 3/9
[05:03:07 +19m 25s | proteinqure] Repaired malformed JSON.
[05:03:07 +19m 25s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 4/9
[05:03:17 +19m 33s | proteinqure] Repaired malformed JSON.
[05:03:17 +19m 33s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 5/9
[05:03:23 +19m 39s | proteinqure] Repaired malformed JSON.
[05:03:23 +19m 39s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 6/9
[05:03:32 +19m 48s | proteinqure] Repaired malformed JSON.
[05:03:32 +19m 48s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 7/9
[05:03:38 +19m 54s | proteinqure] Repaired malformed JSON.
[05:03:38 +19m 54s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 8/9
[05:03:46 +20m 2s | proteinqure] Repaired malformed JSON.
[05:03:46 +20m 2s | proteinqure] Extracting: https://proteinqure.com/news (34/41), chunk 9/9
[05:03:56 +20m 9s | proteinqure] Repaired malformed JSON.
[05:03:56 +20m 9s | proteinqure] Reading page (35/41): https://www.proteinqure.com/peptide-binders-for-all
[05:03:56 +20m 9s | proteinqure] Extracting: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 1/8
[05:04:03 +20m 16s | proteinqure] Extracting: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 2/8
[05:04:08 +20m 21s | proteinqure] Repaired malformed JSON.
[05:04:08 +20m 21s | proteinqure] Extracting: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 3/8
[05:04:18 +20m 31s | proteinqure] Repaired malformed JSON.
[05:04:18 +20m 31s | proteinqure] Extracting: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 4/8
[05:04:29 +20m 40s | proteinqure] Repaired malformed JSON.
[05:04:29 +20m 40s | proteinqure] Extracting: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 5/8
[05:04:33 +20m 43s | proteinqure] Extracting: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 6/8
[05:04:37 +20m 47s | proteinqure] Extracting: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 7/8
[05:04:41 +20m 51s | proteinqure] Extracting: https://www.proteinqure.com/peptide-binders-for-all (35/41), chunk 8/8
[05:04:46 +20m 56s | proteinqure] Reading page (36/41): https://www.proteinqure.com/department/machine-learning
[05:04:46 +20m 56s | proteinqure] Extracting: https://www.proteinqure.com/department/machine-learning (36/41), chunk 1/2
[05:04:51 +21m 1s | proteinqure] Repaired malformed JSON.
[05:04:51 +21m 1s | proteinqure] Extracting: https://www.proteinqure.com/department/machine-learning (36/41), chunk 2/2
[05:05:02 +21m 9s | proteinqure] Reading page (37/41): https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs
[05:05:02 +21m 9s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 1/6
[05:05:05 +21m 13s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 2/6
[05:05:12 +21m 20s | proteinqure] Repaired malformed JSON.
[05:05:12 +21m 20s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 3/6
[05:05:19 +21m 26s | proteinqure] Repaired malformed JSON.
[05:05:19 +21m 26s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 4/6
[05:05:26 +21m 34s | proteinqure] Repaired malformed JSON.
[05:05:26 +21m 34s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 5/6
[05:05:36 +21m 41s | proteinqure] Repaired malformed JSON.
[05:05:36 +21m 41s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-strengthens-leadership-team-with-key-appointments-to-accelerate-translational-and-clinical-development-programs (37/41), chunk 6/6
[05:05:42 +21m 47s | proteinqure] Repaired malformed JSON.
[05:05:42 +21m 47s | proteinqure] Reading page (38/41): https://www.proteinqure.com/news
[05:05:42 +21m 47s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 1/9
[05:05:47 +21m 51s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 2/9
[05:05:55 +21m 59s | proteinqure] Repaired malformed JSON.
[05:05:55 +21m 59s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 3/9
[05:06:01 +22m 5s | proteinqure] Repaired malformed JSON.
[05:06:01 +22m 5s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 4/9
[05:06:11 +22m 13s | proteinqure] Repaired malformed JSON.
[05:06:11 +22m 13s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 5/9
[05:06:19 +22m 20s | proteinqure] Repaired malformed JSON.
[05:06:19 +22m 20s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 6/9
[05:06:28 +22m 29s | proteinqure] Repaired malformed JSON.
[05:06:28 +22m 29s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 7/9
[05:06:33 +22m 35s | proteinqure] Repaired malformed JSON.
[05:06:33 +22m 35s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 8/9
[05:06:39 +22m 40s | proteinqure] Repaired malformed JSON.
[05:06:39 +22m 40s | proteinqure] Extracting: https://www.proteinqure.com/news (38/41), chunk 9/9
[05:06:50 +22m 48s | proteinqure] Reading page (39/41): https://proteinqure.com/science
[05:06:50 +22m 48s | proteinqure] Extracting: https://proteinqure.com/science (39/41), chunk 1/8
[05:06:55 +22m 54s | proteinqure] Extracting: https://proteinqure.com/science (39/41), chunk 2/8
[05:07:01 +22m 59s | proteinqure] Repaired malformed JSON.
[05:07:01 +22m 59s | proteinqure] Extracting: https://proteinqure.com/science (39/41), chunk 3/8
[05:07:06 +23m 5s | proteinqure] Repaired malformed JSON.
[05:07:06 +23m 5s | proteinqure] Extracting: https://proteinqure.com/science (39/41), chunk 4/8
[05:07:13 +23m 11s | proteinqure] Repaired malformed JSON.
[05:07:13 +23m 11s | proteinqure] Extracting: https://proteinqure.com/science (39/41), chunk 5/8
[05:07:21 +23m 17s | proteinqure] Repaired malformed JSON.
[05:07:21 +23m 17s | proteinqure] Extracting: https://proteinqure.com/science (39/41), chunk 6/8
[05:07:27 +23m 23s | proteinqure] Repaired malformed JSON.
[05:07:27 +23m 23s | proteinqure] Extracting: https://proteinqure.com/science (39/41), chunk 7/8
[05:07:35 +23m 30s | proteinqure] Repaired malformed JSON.
[05:07:35 +23m 30s | proteinqure] Extracting: https://proteinqure.com/science (39/41), chunk 8/8
[05:07:40 +23m 35s | proteinqure] Reading page (40/41): https://www.proteinqure.com/category/view-all
[05:07:40 +23m 35s | proteinqure] Extracting: https://www.proteinqure.com/category/view-all (40/41), chunk 1/2
[05:07:45 +23m 41s | proteinqure] Repaired malformed JSON.
[05:07:45 +23m 41s | proteinqure] Extracting: https://www.proteinqure.com/category/view-all (40/41), chunk 2/2
[05:07:51 +23m 47s | proteinqure] Reading page (41/41): https://www.proteinqure.com/proteinqure-dare-to-deliver
[05:07:51 +23m 47s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 1/7
[05:08:00 +23m 53s | proteinqure] Repaired malformed JSON.
[05:08:00 +23m 53s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 2/7
[05:08:05 +23m 58s | proteinqure] Repaired malformed JSON.
[05:08:05 +23m 58s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 3/7
[05:08:14 +24m 7s | proteinqure] Repaired malformed JSON.
[05:08:14 +24m 7s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 4/7
[05:08:22 +24m 15s | proteinqure] Repaired malformed JSON.
[05:08:22 +24m 15s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 5/7
[05:08:32 +24m 22s | proteinqure] Repaired malformed JSON.
[05:08:32 +24m 22s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 6/7
[05:08:39 +24m 29s | proteinqure] Repaired malformed JSON.
[05:08:39 +24m 29s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-dare-to-deliver (41/41), chunk 7/7
[05:08:46 +24m 36s | proteinqure] Repaired malformed JSON.
[05:08:46 +24m 36s | proteinqure] Saved 1_actor_results.json with 439 extracted records

[05:08:46 +24m 37s | proteinqure] === 2 clean actors ===
[05:08:47 +24m 37s | proteinqure] Loaded 439 extracted records
[05:08:47 +24m 37s | proteinqure] Saved 2_actor_nodes.json with 62 canonical actor nodes

[05:08:47 +24m 37s | proteinqure] === 3 interaction extraction ===
[05:08:48 +24m 38s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 3/15
[05:08:51 +24m 41s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 4/15
[05:09:10 +24m 57s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 5/15
[05:09:18 +25m 5s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 6/15
[05:09:41 +25m 26s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 7/15
[05:09:59 +25m 43s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 8/15
[05:10:19 +26m 1s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 9/15
[05:10:34 +26m 15s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 10/15
[05:10:39 +26m 21s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 11/15
[05:10:59 +26m 38s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 12/15
[05:11:09 +26m 48s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 13/15
[05:11:18 +26m 57s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 14/15
[05:11:21 +27m 0s | proteinqure] Extracting interactions: https://www.proteinqure.com/team (1/41), chunk 15/15
[05:11:28 +27m 3s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 2/5
[05:11:33 +27m 8s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 3/5
[05:11:41 +27m 16s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 4/5
[05:11:48 +27m 24s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 5/5
[05:11:55 +27m 31s | proteinqure] Extracting interactions: https://www.proteinqure.com/science (3/41), chunk 2/8
[05:11:58 +27m 34s | proteinqure] Extracting interactions: https://www.proteinqure.com/science (3/41), chunk 3/8
[05:12:05 +27m 38s | proteinqure] Extracting interactions: https://www.proteinqure.com/science (3/41), chunk 4/8
[05:12:09 +27m 41s | proteinqure] Extracting interactions: https://www.proteinqure.com/science (3/41), chunk 6/8
[05:12:13 +27m 46s | proteinqure] Extracting interactions: https://www.proteinqure.com/science (3/41), chunk 7/8
[05:12:16 +27m 49s | proteinqure] Extracting interactions: https://www.proteinqure.com/science (3/41), chunk 8/8
[05:12:23 +27m 55s | proteinqure] Extracting interactions: https://www.proteinqure.com/category/press-releases (4/41), chunk 1/2
[05:12:27 +27m 59s | proteinqure] Extracting interactions: https://www.proteinqure.com/category/press-releases (4/41), chunk 2/2
[05:12:33 +28m 5s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 2/6
[05:12:44 +28m 14s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 3/6
[05:13:04 +28m 33s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 4/6
[05:13:41 +29m 7s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 5/6
[05:13:53 +29m 16s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 6/6
[05:13:58 +29m 21s | proteinqure] Extracting interactions: https://www.proteinqure.com/pipeline (6/41), chunk 2/9
[05:14:02 +29m 25s | proteinqure] Extracting interactions: https://www.proteinqure.com/pipeline (6/41), chunk 3/9
[05:14:04 +29m 28s | proteinqure] Extracting interactions: https://www.proteinqure.com/pipeline (6/41), chunk 4/9
[05:14:09 +29m 32s | proteinqure] Extracting interactions: https://www.proteinqure.com/pipeline (6/41), chunk 5/9
[05:14:14 +29m 38s | proteinqure] Extracting interactions: https://www.proteinqure.com/pipeline (6/41), chunk 6/9
[05:14:17 +29m 41s | proteinqure] Extracting interactions: https://www.proteinqure.com/pipeline (6/41), chunk 7/9
[05:14:29 +29m 50s | proteinqure] Extracting interactions: https://www.proteinqure.com/pipeline (6/41), chunk 8/9
[05:14:38 +29m 58s | proteinqure] Extracting interactions: https://www.proteinqure.com/pipeline (6/41), chunk 9/9
[05:14:43 +30m 4s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 2/6
[05:14:53 +30m 14s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 3/6
[05:15:16 +30m 34s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 4/6
[05:15:30 +30m 48s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 5/6
[05:15:43 +30m 59s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 6/6
[05:15:52 +31m 7s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 2/10
[05:15:56 +31m 12s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 3/10
[05:16:05 +31m 20s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 4/10
[05:16:16 +31m 28s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 5/10
[05:16:20 +31m 32s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 6/10
[05:16:25 +31m 37s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 7/10
[05:16:37 +31m 49s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 8/10
[05:16:48 +31m 58s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 9/10
[05:16:54 +32m 3s | proteinqure] Extracting interactions: http://proteinqure.com (8/41), chunk 10/10
[05:17:00 +32m 9s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 2/5
[05:17:13 +32m 23s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 3/5
[05:17:29 +32m 35s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 4/5
[05:17:42 +32m 48s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 5/5
[05:17:48 +32m 55s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 2/10
[05:17:54 +32m 58s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 3/10
[05:18:00 +33m 3s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 4/10
[05:18:09 +33m 13s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 5/10
[05:18:15 +33m 18s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 6/10
[05:18:20 +33m 24s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 7/10
[05:18:38 +33m 38s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 8/10
[05:18:51 +33m 52s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 9/10
[05:18:55 +33m 56s | proteinqure] Extracting interactions: http://www.proteinqure.com (10/41), chunk 10/10
[05:19:01 +34m 1s | proteinqure] Extracting interactions: https://proteinqure.com/pipeline (11/41), chunk 2/9
[05:19:08 +34m 5s | proteinqure] Extracting interactions: https://proteinqure.com/pipeline (11/41), chunk 3/9
[05:19:11 +34m 8s | proteinqure] Extracting interactions: https://proteinqure.com/pipeline (11/41), chunk 4/9
[05:19:17 +34m 14s | proteinqure] Extracting interactions: https://proteinqure.com/pipeline (11/41), chunk 5/9
[05:19:21 +34m 18s | proteinqure] Extracting interactions: https://proteinqure.com/pipeline (11/41), chunk 6/9
[05:19:24 +34m 22s | proteinqure] Extracting interactions: https://proteinqure.com/pipeline (11/41), chunk 7/9
[05:19:32 +34m 29s | proteinqure] Extracting interactions: https://proteinqure.com/pipeline (11/41), chunk 8/9
[05:19:43 +34m 37s | proteinqure] Extracting interactions: https://proteinqure.com/pipeline (11/41), chunk 9/9
[05:19:50 +34m 44s | proteinqure] Extracting interactions: https://www.proteinqure.com/category/articles (12/41), chunk 1/2
[05:19:53 +34m 47s | proteinqure] Extracting interactions: https://www.proteinqure.com/category/articles (12/41), chunk 2/2
[05:19:57 +34m 51s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 2/5
[05:20:09 +35m 3s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 3/5
[05:20:23 +35m 15s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 4/5
[05:20:27 +35m 19s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 5/5
[05:20:34 +35m 26s | proteinqure] Extracting interactions: https://www.proteinqure.com/partnering (15/41), chunk 2/7
[05:20:38 +35m 30s | proteinqure] Extracting interactions: https://www.proteinqure.com/partnering (15/41), chunk 3/7
[05:20:42 +35m 34s | proteinqure] Extracting interactions: https://www.proteinqure.com/partnering (15/41), chunk 4/7
[05:20:45 +35m 37s | proteinqure] Extracting interactions: https://www.proteinqure.com/partnering (15/41), chunk 5/7
[05:21:01 +35m 50s | proteinqure] Extracting interactions: https://www.proteinqure.com/partnering (15/41), chunk 6/7
[05:21:08 +35m 57s | proteinqure] Extracting interactions: https://www.proteinqure.com/partnering (15/41), chunk 7/7
[05:21:13 +36m 2s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 2/5
[05:21:25 +36m 12s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 3/5
[05:21:47 +36m 34s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 4/5
[05:22:00 +36m 43s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 5/5
[05:22:07 +36m 51s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/view-all (17/41), chunk 1/2
[05:22:10 +36m 53s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/view-all (17/41), chunk 2/2
[05:22:17 +37m 1s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/founders (18/41), chunk 1/2
[05:22:21 +37m 5s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/founders (18/41), chunk 2/2
[05:22:27 +37m 10s | proteinqure] Extracting interactions: https://www.proteinqure.com/careers (19/41), chunk 4/6
[05:22:30 +37m 14s | proteinqure] Extracting interactions: https://www.proteinqure.com/careers (19/41), chunk 5/6
[05:22:38 +37m 19s | proteinqure] Extracting interactions: https://www.proteinqure.com/careers (19/41), chunk 6/6
[05:22:43 +37m 24s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/bio-chem (20/41), chunk 1/2
[05:22:47 +37m 28s | proteinqure] Extracting interactions: https://www.proteinqure.com/department/bio-chem (20/41), chunk 2/2
[05:22:51 +37m 32s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 2/6
[05:22:59 +37m 40s | proteinqure] Extracting interactions: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 3/6
